"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2450","0","10","40","0","1990","A","","Great Falls, MT MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2393,28316,504707582,0,0,343,17824,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","1","10","41","0","1990","A","","Great Falls, MT MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,1755,44796899,0,0,491,25531,"",2.25,2.09,2.33,0.00,0.00,1.11,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","2","10","41","0","1990","A","","Great Falls, MT MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",23,684,13260100,0,0,373,19396,"",1.04,0.66,0.65,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","3","10","41","0","1990","A","","Great Falls, MT MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",46,2980,57381648,0,0,370,19253,"",1.13,1.08,1.17,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","10","41","0","1990","A","","Great Falls, MT MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2283,22897,389268935,0,0,327,17001,"",0.99,0.97,0.94,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","101","42","0","1990","A","","Great Falls, MT MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",322,2293,51414348,0,0,431,22426,"",0.70,0.36,0.39,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1011","43","0","1990","A","","Great Falls, MT MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",30,157,2660303,0,0,327,16990,"",0.61,0.35,0.34,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1012","43","0","1990","A","","Great Falls, MT MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",208,1096,26686854,0,0,468,24346,"",0.80,0.81,0.99,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1013","43","0","1990","A","","Great Falls, MT MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",84,1040,22067191,0,0,408,21220,"",0.55,0.22,0.22,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","102","42","0","1990","A","","Great Falls, MT MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1961,20604,337854587,0,0,315,16397,"",1.06,1.19,1.19,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1021","43","0","1990","A","","Great Falls, MT MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",688,7588,128949104,0,0,327,16994,"",1.09,1.29,1.37,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1022","43","0","1990","A","","Great Falls, MT MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",29,499,10055570,0,0,388,20155,"",0.87,0.69,0.58,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1023","43","0","1990","A","","Great Falls, MT MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",258,1762,37160593,0,0,406,21095,"",1.25,1.00,0.98,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1024","43","0","1990","A","","Great Falls, MT MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",256,1563,35564029,0,0,438,22750,"",0.82,0.57,0.64,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1025","43","0","1990","A","","Great Falls, MT MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",221,4491,85555011,0,0,366,19051,"",1.08,1.61,1.79,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1026","43","0","1990","A","","Great Falls, MT MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",261,3687,27614047,0,0,144,7490,"",1.35,1.50,1.46,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1027","43","0","1990","A","","Great Falls, MT MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",247,961,12114180,0,0,242,12601,"",0.93,1.06,1.13,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","111","45","0","1990","A","","Great Falls, MT MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",10,52,903117,0,0,332,17285,"",0.55,0.36,0.65,0.00,0.00,1.79,1.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","112","45","0","1990","A","","Great Falls, MT MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",11,85,1340574,0,0,302,15695,"",1.82,2.13,2.74,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","1121","46","0","1990","A","","Great Falls, MT MSA","Private","Cattle ranching and farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",10,78,1218284,0,0,300,15619,"",2.62,4.05,5.15,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","11211","47","0","1990","A","","Great Falls, MT MSA","Private","Beef cattle ranching, farming, and feedlots","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",9,76,1174664,0,0,298,15473,"",3.93,7.01,8.65,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","112111","48","0","1990","A","","Great Falls, MT MSA","Private","Beef cattle ranching and farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",6,59,947987,0,0,312,16205,"",3.09,7.96,11.29,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","22","44","0","1990","A","","Great Falls, MT MSA","Private","Utilities","MSA, NAICS Sector -- by ownership sector","All establishment sizes",6,244,7947820,0,0,627,32618,"",1.30,1.25,1.37,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","221","45","0","1990","A","","Great Falls, MT MSA","Private","Utilities","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",6,244,7947820,0,0,627,32618,"",1.30,1.25,1.37,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","2213","46","0","1990","A","","Great Falls, MT MSA","Private","Water, sewage and other systems","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,30,679129,0,0,435,22638,"",2.29,3.33,4.07,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","23","44","0","1990","A","","Great Falls, MT MSA","Private","Construction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",208,1096,26686854,0,0,468,24346,"",0.80,0.81,0.99,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","236","45","0","1990","A","","Great Falls, MT MSA","Private","Construction of buildings","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",69,261,5438022,0,0,400,20822,"",0.86,0.76,0.77,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","2361","46","0","1990","A","","Great Falls, MT MSA","Private","Residential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",51,130,2302279,0,0,342,17767,"",0.85,0.83,0.84,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","23611","47","0","1990","A","","Great Falls, MT MSA","Private","Residential building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",51,130,2302279,0,0,342,17767,"",0.85,0.83,0.84,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","236115","48","0","1990","A","","Great Falls, MT MSA","Private","New single-family general contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",40,86,1436924,0,0,320,16660,"",1.21,0.97,0.93,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2450","5","236118","48","0","1990","A","","Great Falls, MT MSA","Private","Residential remodelers","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",8,18,249587,0,0,267,13866,"",0.33,0.32,0.27,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
