"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2518","0","10","40","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3947,72438,1460650051,0,0,388,20164,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","1","10","41","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",38,3721,104146338,0,0,538,27986,"",1.26,1.73,1.88,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","2","10","41","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",44,2719,69781688,0,0,494,25668,"",1.21,1.03,1.19,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","3","10","41","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,6390,138052248,0,0,416,21606,"",0.77,0.91,0.97,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","10","41","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3813,59609,1148669777,0,0,371,19270,"",1.00,0.98,0.95,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","101","42","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",863,17537,416302960,0,0,457,23739,"",1.13,1.06,1.08,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","1011","43","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",39,556,13446176,0,0,465,24169,"",0.48,0.48,0.59,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","1012","43","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",647,4560,94278101,0,0,398,20673,"",1.51,1.32,1.21,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","1013","43","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",178,12420,308578683,0,0,478,24845,"",0.71,1.05,1.09,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2518","5","102","42","0","1990","A","","Hagerstown-Martinsburg, MD-WV MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2951,42072,732366817,0,0,335,17408,"",0.97,0.95,0.89,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
