"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2642","0","10","40","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",72435,1719570,45076660210,0,0,504,26214,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","1","10","41","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",124,27037,950190857,0,0,676,35144,"",0.22,0.53,0.55,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","10","41","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",71404,1478621,39355945945,0,0,512,26617,"",1.02,1.03,1.06,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","101","42","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",12915,398594,13983967658,0,0,675,35083,"",0.92,1.02,1.18,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","1011","43","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",1622,66246,3260254912,0,0,946,49214,"",1.09,2.40,4.66,0.00,0.00,1.94,1.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","1012","43","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",6182,133401,3842759268,0,0,554,28806,"",0.79,1.63,1.60,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","1013","43","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",5111,198947,6880953478,0,0,665,34587,"",1.11,0.71,0.78,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","102","42","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",58489,1080027,25371978287,0,0,452,23492,"",1.04,1.03,1.00,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","1021","43","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",18473,386356,9258318410,0,0,461,23963,"",0.97,1.09,1.10,0.00,0.00,1.02,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2642","5","1022","43","0","1990","A","","Houston-The Woodlands-Sugar Land, TX MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",886,35835,1082083684,0,0,581,30196,"",0.87,0.82,0.70,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
