"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3374","0","10","40","0","1990","A","","Monroe, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3792,59088,1152665449,0,0,375,19508,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","1","10","41","0","1990","A","","Monroe, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,699,19979187,0,0,550,28576,"",1.42,0.40,0.46,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","2","10","41","0","1990","A","","Monroe, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,3793,72496457,0,0,368,19113,"",1.48,1.76,1.56,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","3","10","41","0","1990","A","","Monroe, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",108,7106,116810778,0,0,316,16438,"",1.67,1.24,1.04,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","10","41","0","1990","A","","Monroe, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3591,47490,943379027,0,0,382,19865,"",0.98,0.96,0.99,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","101","42","0","1990","A","","Monroe, LA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",649,11543,304024977,0,0,507,26338,"",0.89,0.86,1.00,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1011","43","0","1990","A","","Monroe, LA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",142,1421,39540309,0,0,535,27832,"",1.82,1.50,2.21,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1012","43","0","1990","A","","Monroe, LA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",338,2607,43779230,0,0,323,16795,"",0.82,0.92,0.71,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1013","43","0","1990","A","","Monroe, LA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",169,7516,220705438,0,0,565,29366,"",0.70,0.78,0.98,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","102","42","0","1990","A","","Monroe, LA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2942,35946,639354050,0,0,342,17786,"",1.00,1.00,0.99,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1021","43","0","1990","A","","Monroe, LA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1108,13975,241701424,0,0,333,17295,"",1.11,1.14,1.12,0.00,0.00,0.99,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1022","43","0","1990","A","","Monroe, LA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",47,1551,36196677,0,0,449,23341,"",0.89,1.03,0.91,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1023","43","0","1990","A","","Monroe, LA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",366,3691,77668647,0,0,405,21046,"",1.12,1.00,0.89,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1024","43","0","1990","A","","Monroe, LA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",438,3545,78283397,0,0,425,22084,"",0.89,0.62,0.61,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1025","43","0","1990","A","","Monroe, LA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",339,7371,154159275,0,0,402,20915,"",1.04,1.27,1.41,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1026","43","0","1990","A","","Monroe, LA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",221,4260,30944613,0,0,140,7263,"",0.72,0.83,0.72,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","1027","43","0","1990","A","","Monroe, LA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",423,1498,19361895,0,0,249,12925,"",1.01,0.80,0.79,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","22","44","0","1990","A","","Monroe, LA MSA","Private","Utilities","MSA, NAICS Sector -- by ownership sector","All establishment sizes",21,260,6016362,0,0,445,23155,"",2.87,0.64,0.45,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","221","45","0","1990","A","","Monroe, LA MSA","Private","Utilities","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",21,260,6016362,0,0,445,23155,"",2.87,0.64,0.45,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","23","44","0","1990","A","","Monroe, LA MSA","Private","Construction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",338,2607,43779230,0,0,323,16795,"",0.82,0.92,0.71,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","236","45","0","1990","A","","Monroe, LA MSA","Private","Construction of buildings","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",90,544,9007113,0,0,318,16547,"",0.71,0.75,0.56,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","2361","46","0","1990","A","","Monroe, LA MSA","Private","Residential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",49,163,2104729,0,0,248,12899,"",0.52,0.50,0.34,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","23611","47","0","1990","A","","Monroe, LA MSA","Private","Residential building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",49,163,2104729,0,0,248,12899,"",0.52,0.50,0.34,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","2362","46","0","1990","A","","Monroe, LA MSA","Private","Nonresidential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",41,381,6902384,0,0,348,18109,"",1.28,0.97,0.70,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","237","45","0","1990","A","","Monroe, LA MSA","Private","Heavy and civil engineering construction","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",41,634,11770765,0,0,357,18578,"",1.12,1.41,1.06,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","238","45","0","1990","A","","Monroe, LA MSA","Private","Specialty trade contractors","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",207,1429,23001352,0,0,310,16099,"",0.83,0.87,0.67,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","238162","48","0","1990","A","","Monroe, LA MSA","Private","Nonresidential roofing contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",8,59,722476,0,0,238,12350,"",2.23,1.46,0.96,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","2383","46","0","1990","A","","Monroe, LA MSA","Private","Building finishing contractors","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",48,281,4319174,0,0,296,15380,"",0.76,0.79,0.66,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","23831","47","0","1990","A","","Monroe, LA MSA","Private","Drywall and insulation contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",8,74,1175536,0,0,307,15976,"",0.59,0.53,0.43,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","23839","47","0","1990","A","","Monroe, LA MSA","Private","Other building finishing contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,16,214187,0,0,253,13181,"",0.77,0.66,0.48,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","238912","48","0","1990","A","","Monroe, LA MSA","Private","Nonresidential site preparation contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",9,63,917709,0,0,281,14625,"",1.00,0.89,0.58,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3374","5","31-33","44","0","1990","A","","Monroe, LA MSA","Private","Manufacturing","MSA, NAICS Sector -- by ownership sector","All establishment sizes",169,7516,220705438,0,0,565,29366,"",0.70,0.78,0.98,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
