"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3562","0","10","40","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",464123,7689487,240219675984,0,0,601,31240,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","1","10","41","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1003,166357,5457115700,0,0,631,32804,"",0.28,0.73,0.60,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","2","10","41","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",291,138466,4627275272,0,0,643,33418,"",0.07,0.49,0.48,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","3","10","41","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1875,893857,28333800883,0,0,610,31698,"",0.24,1.20,1.21,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","10","41","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",460954,6490807,201801484129,0,0,598,31090,"",1.03,1.01,1.02,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","101","42","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",75484,1161858,36944183248,0,0,611,31798,"",0.84,0.66,0.58,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","102","42","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",385470,5328949,164857300881,0,0,595,30936,"",1.07,1.14,1.22,0.00,0.00,1.08,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1021","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",126466,1579807,43073922294,0,0,524,27265,"",1.04,0.99,0.96,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1022","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",7804,313777,13163947473,0,0,807,41953,"",1.20,1.60,1.59,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1023","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",49962,802964,35877000357,0,0,859,44681,"",1.25,1.67,1.98,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1024","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",70528,989343,36434156796,0,0,708,36827,"",1.17,1.34,1.37,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1025","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",40279,904198,23634414150,0,0,503,26139,"",1.01,1.20,1.04,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1026","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",35478,476267,7359645110,0,0,297,15453,"",0.95,0.71,0.82,0.00,0.00,1.14,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","1027","43","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",53015,254244,5038372144,0,0,381,19817,"",1.03,1.04,0.99,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","5","11","44","0","1990","A","","New York-Newark-Jersey City, NY-NJ-PA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",709,5827,115324249,0,0,381,19791,"",0.10,0.08,0.08,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
