"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3650","0","10","40","0","1990","A","","Olympia-Tumwater, WA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3862,64198,1370879253,0,0,411,21354,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","1","10","41","0","1990","A","","Olympia-Tumwater, WA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,828,27497154,0,0,639,33229,"",1.12,0.44,0.53,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","2","10","41","0","1990","A","","Olympia-Tumwater, WA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",107,18842,530631547,0,0,542,28163,"",3.00,8.03,9.61,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","3","10","41","0","1990","A","","Olympia-Tumwater, WA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",46,7075,143776529,0,0,391,20321,"",0.70,1.13,1.08,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","10","41","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3676,37454,668974023,0,0,343,17861,"",0.99,0.70,0.59,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","101","42","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",901,8677,194908652,0,0,432,22464,"",1.21,0.59,0.54,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1011","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",154,1536,23723750,0,0,297,15446,"",1.94,1.49,1.12,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1012","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",577,2857,60421047,0,0,407,21150,"",1.37,0.93,0.83,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1013","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",169,4284,110763855,0,0,497,25855,"",0.69,0.41,0.42,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","102","42","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2775,28777,474065371,0,0,317,16474,"",0.93,0.74,0.62,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1021","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",861,9308,165600664,0,0,342,17791,"",0.85,0.70,0.65,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1022","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",44,982,26861824,0,0,526,27359,"",0.81,0.60,0.57,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1023","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",335,2248,42206967,0,0,361,18776,"",1.00,0.56,0.41,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1024","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",435,2509,42848171,0,0,328,17077,"",0.86,0.41,0.28,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1025","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",353,6390,125877775,0,0,379,19698,"",1.07,1.01,0.97,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1026","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",319,5401,40682360,0,0,145,7533,"",1.02,0.97,0.79,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1027","43","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",428,1819,27295080,0,0,289,15008,"",1.00,0.89,0.94,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","11","44","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",148,1481,22664567,0,0,294,15299,"",2.47,2.32,2.82,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","111","45","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",36,462,5808814,0,0,242,12569,"",1.23,1.42,1.54,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1114","46","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",19,388,5221883,0,0,259,13458,"",3.82,4.36,4.36,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","111421","48","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",16,236,2893718,0,0,236,12270,"",5.56,4.94,4.51,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","112","45","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",45,390,5714088,0,0,282,14648,"",4.61,4.31,4.30,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1121","46","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Cattle ranching and farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",26,115,1840081,0,0,307,15966,"",4.22,2.64,2.86,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","11211","47","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Beef cattle ranching, farming, and feedlots","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",9,14,142721,0,0,197,10255,"",2.44,0.57,0.39,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","11212","47","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Dairy cattle and milk production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",18,101,1697360,0,0,322,16750,"",7.31,5.30,6.19,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","112120","48","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Dairy cattle and milk production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",18,101,1697360,0,0,322,16750,"",7.31,5.30,6.19,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1123","46","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Poultry and egg production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",9,188,2919914,0,0,299,15538,"",8.98,6.55,6.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","113","45","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Forestry and logging","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",38,468,8712247,0,0,358,18603,"",4.14,8.41,8.56,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1133","46","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Logging","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",34,229,5925979,0,0,499,25934,"",3.88,4.48,6.35,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","11331","47","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Logging","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",34,229,5925979,0,0,499,25934,"",3.88,4.48,6.35,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","113310","48","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Logging","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",34,229,5925979,0,0,499,25934,"",3.88,4.48,6.35,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","114","45","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Fishing, hunting and trapping","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",14,59,959544,0,0,314,16310,"",6.67,7.44,4.41,0.00,0.00,0.60,0.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","1141","46","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Fishing","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",14,59,959544,0,0,314,16310,"",7.16,8.55,4.63,0.00,0.00,0.54,0.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3650","5","11411","47","0","1990","A","","Olympia-Tumwater, WA MSA","Private","Fishing","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",14,59,959544,0,0,314,16310,"",7.16,8.55,4.63,0.00,0.00,0.54,0.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
