"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4254","0","10","40","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12232,234065,4511178208,0,0,371,19273,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","1","10","41","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",122,4661,132636478,0,0,547,28454,"",1.31,0.67,0.77,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","2","10","41","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,6230,164529668,0,0,508,26409,"",0.66,0.73,0.91,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","3","10","41","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",230,17859,372926430,0,0,402,20882,"",1.10,0.78,0.85,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","10","41","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",11806,205314,3841085632,0,0,360,18708,"",1.00,1.05,1.03,0.00,0.00,0.99,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","101","42","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2715,63049,1393446683,0,0,425,22101,"",1.15,1.18,1.17,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1011","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",76,1019,22139365,0,0,418,21734,"",0.30,0.27,0.32,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1012","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1628,10125,227151843,0,0,431,22435,"",1.22,0.91,0.95,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1013","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1011,51905,1144155475,0,0,424,22043,"",1.30,1.35,1.30,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","102","42","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",9091,142266,2447638949,0,0,331,17205,"",0.96,1.00,0.97,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1021","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",3323,52158,890671326,0,0,328,17077,"",1.03,1.08,1.06,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1022","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",127,6004,144817465,0,0,464,24120,"",0.74,1.00,0.93,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1023","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",868,11847,251496246,0,0,408,21229,"",0.82,0.81,0.74,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1024","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1189,12946,267587572,0,0,398,20670,"",0.75,0.58,0.54,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1025","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1254,35550,683920417,0,0,370,19238,"",1.20,1.54,1.60,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1026","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1177,16883,122803287,0,0,140,7274,"",1.19,0.83,0.73,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1027","43","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1150,6708,83509282,0,0,239,12449,"",0.85,0.90,0.87,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4254","5","1114","46","0","1990","A","","Scranton--Wilkes-Barre--Hazleton, PA MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",9,73,639572,0,0,170,8822,"",0.57,0.23,0.16,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
