"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4970","0","10","40","0","1990","A","","Yuba City, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3220,38841,750758195,0,0,372,19329,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","1","10","41","0","1990","A","","Yuba City, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",35,1572,32646083,0,0,399,20774,"",1.43,1.37,1.14,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","2","10","41","0","1990","A","","Yuba City, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,838,33208988,0,0,762,39629,"",1.38,0.59,1.10,0.00,0.00,1.86,1.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","3","10","41","0","1990","A","","Yuba City, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",74,6155,133940844,0,0,418,21761,"",1.35,1.63,1.83,0.00,0.00,1.12,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","10","41","0","1990","A","","Yuba City, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3070,30277,550962280,0,0,350,18197,"",0.99,0.93,0.89,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","101","42","0","1990","A","","Yuba City, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1303,13117,243688992,0,0,357,18578,"",2.10,1.48,1.23,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","1011","43","0","1990","A","","Yuba City, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",870,6766,81164624,0,0,231,11997,"",13.14,10.87,6.97,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","1012","43","0","1990","A","","Yuba City, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",302,1851,44669088,0,0,464,24127,"",0.86,1.00,1.12,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","1013","43","0","1990","A","","Yuba City, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",131,4500,117855280,0,0,504,26189,"",0.64,0.71,0.81,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4970","5","102","42","0","1990","A","","Yuba City, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1767,17160,307273288,0,0,344,17907,"",0.71,0.73,0.73,0.00,0.00,1.00,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
