"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06081","0","10","70","0","1990","A","","San Mateo County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",17125,310320,9255991090,0,0,574,29827,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",214,1.3,6951,2.3,760271777,8.9,-2068333742,-100.0,-41631539,-100.0,36,6.7,1823,6.5
"06081","1","10","71","0","1990","A","","San Mateo County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,4780,169530701,0,0,682,35468,"",0.37,0.52,0.48,0.00,0.00,0.93,0.93,"",2,4.3,-852,-15.1,-12264300,-6.7,0,0.0,0,0.0,62,10.0,3190,9.9
"06081","1","102","72","0","1990","A","","San Mateo County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,4778,169473037,0,0,682,35471,"",0.36,0.54,0.50,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","1021","73","0","1990","A","","San Mateo County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,2109,76639211,0,0,699,36348,"",0.44,0.77,0.72,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","1027","73","0","1990","A","","San Mateo County, California","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,40,1275795,0,0,621,32299,"",2.83,1.27,1.85,0.00,0.00,1.47,1.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","1028","73","0","1990","A","","San Mateo County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,2586,89670885,0,0,667,34670,"",0.33,0.54,0.49,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","48-49","74","0","1990","A","","San Mateo County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,2109,76639211,0,0,699,36348,"",0.46,0.85,0.76,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","491","75","0","1990","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,2109,76639211,0,0,699,36348,"",0.47,0.89,0.81,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","4911","76","0","1990","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,2109,76639211,0,0,699,36348,"",0.47,0.89,0.81,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","49111","77","0","1990","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,2109,76639211,0,0,699,36348,"",0.47,0.89,0.81,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
