"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08055","0","10","70","0","1990","A","","Huerfano County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",184,1263,17388224,0,0,265,13773,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.1,39,3.2,1249788,7.7,-10316499,-100.0,-121258,-100.0,12,4.7,589,4.5
"08055","1","10","71","0","1990","A","","Huerfano County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,24,500356,0,0,408,21217,"",4.28,0.64,0.76,0.00,0.00,1.20,1.20,"",1,20.0,4,20.0,77293,18.3,0,0.0,0,0.0,2,0.5,64,0.3
"08055","1","102","72","0","1990","A","","Huerfano County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,24,500356,0,0,408,21217,"",4.31,0.67,0.79,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","1021","73","0","1990","A","","Huerfano County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.62,1.08,1.74,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","1028","73","0","1990","A","","Huerfano County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,150975,0,0,258,13420,"",4.15,0.57,0.44,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","48-49","74","0","1990","A","","Huerfano County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.79,1.19,1.84,0.00,0.00,1.51,1.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","491","75","0","1990","A","","Huerfano County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.91,1.25,1.96,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","4911","76","0","1990","A","","Huerfano County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.91,1.25,1.96,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","49111","77","0","1990","A","","Huerfano County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.91,1.25,1.96,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055","1","491110","78","0","1990","A","","Huerfano County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,349381,0,0,545,28328,"",5.91,1.25,1.96,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
