"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13005","0","10","70","0","1990","A","","Bacon County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",206,3464,48938426,0,0,272,14128,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3,-1.4,-32,-0.9,-731803,-1.5,-20044712,-100.0,-279420,-100.0,-1,-0.4,-79,-0.6
"13005","1","10","71","0","1990","A","","Bacon County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,30,690900,0,0,450,23420,"",4.46,0.29,0.37,0.00,0.00,1.29,1.29,"",1,16.7,0,0.0,-3958,-0.6,0,0.0,0,0.0,5,1.1,259,1.1
"13005","1","102","72","0","1990","A","","Bacon County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,30,690900,0,0,450,23420,"",4.49,0.31,0.39,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","1021","73","0","1990","A","","Bacon County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,16,454272,0,0,540,28099,"",5.02,0.52,0.80,0.00,0.00,1.51,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","1028","73","0","1990","A","","Bacon County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,13,236628,0,0,341,17747,"",4.94,0.24,0.25,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","48-49","74","0","1990","A","","Bacon County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,16,454272,0,0,540,28099,"",5.17,0.58,0.85,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","491","75","0","1990","A","","Bacon County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,408702,0,0,518,26947,"",3.52,0.57,0.81,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","4911","76","0","1990","A","","Bacon County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,408702,0,0,518,26947,"",3.52,0.57,0.81,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","49111","77","0","1990","A","","Bacon County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,408702,0,0,518,26947,"",3.52,0.57,0.81,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","491110","78","0","1990","A","","Bacon County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,408702,0,0,518,26947,"",3.52,0.57,0.81,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","92","74","0","1990","A","","Bacon County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,13,236628,0,0,341,17747,"",4.94,0.24,0.25,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","924","75","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,143685,0,0,390,20285,"",9.36,1.93,2.23,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","9241","76","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,143685,0,0,390,20285,"",9.36,1.93,2.23,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","92412","77","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,143685,0,0,390,20285,"",9.50,2.23,2.70,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","924120","78","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,143685,0,0,390,20285,"",9.50,2.23,2.70,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","926","75","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,20517,0,0,175,9119,"",3.08,0.24,0.15,0.00,0.00,0.55,0.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","9261","76","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,20517,0,0,175,9119,"",3.08,0.24,0.15,0.00,0.00,0.55,0.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","92611","77","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,20517,0,0,175,9119,"",10.25,0.46,0.42,0.00,0.00,0.80,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","1","926110","78","0","1990","A","","Bacon County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,20517,0,0,175,9119,"",10.25,0.46,0.42,0.00,0.00,0.80,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","2","10","71","0","1990","A","","Bacon County, Georgia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,61,1227134,0,0,384,19980,"",3.15,0.48,0.62,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,60552,5.2,0,0.0,0,0.0,17,4.6,856,4.5
"13005","2","102","72","0","1990","A","","Bacon County, Georgia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,61,1227134,0,0,384,19980,"",3.25,0.49,0.64,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","3","10","71","0","1990","A","","Bacon County, Georgia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,525,7606221,0,0,278,14477,"",1.99,1.56,1.60,0.00,0.00,1.02,1.02,"",-1,-12.5,19,3.8,116103,1.6,-161797,-100.0,-772,-100.0,-6,-2.1,-325,-2.2
"13005","3","102","72","0","1990","A","","Bacon County, Georgia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,525,7606221,0,0,278,14477,"",2.08,1.57,1.61,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","10","71","0","1990","A","","Bacon County, Georgia","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",186,2848,39414171,0,0,266,13841,"",0.93,0.98,0.98,0.00,0.00,0.99,0.99,"",-2,-1.1,-50,-1.7,-904500,-2.2,-19882915,-100.0,-278648,-100.0,-1,-0.4,-71,-0.5
"13005","5","101","72","0","1990","A","","Bacon County, Georgia","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",32,1621,23743097,0,0,282,14646,"",0.80,2.06,1.84,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1011","73","0","1990","A","","Bacon County, Georgia","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",10,104,1199276,0,0,221,11485,"",2.36,1.87,1.58,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1012","73","0","1990","A","","Bacon County, Georgia","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",7,24,231946,0,0,189,9835,"",0.31,0.15,0.09,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1013","73","0","1990","A","","Bacon County, Georgia","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",16,1493,22311875,0,0,287,14943,"",1.22,2.63,2.34,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","102","72","0","1990","A","","Bacon County, Georgia","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",154,1226,15671074,0,0,246,12778,"",0.97,0.58,0.57,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1021","73","0","1990","A","","Bacon County, Georgia","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",77,757,8643208,0,0,220,11418,"",1.42,1.06,0.95,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1023","73","0","1990","A","","Bacon County, Georgia","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",19,110,1756709,0,0,307,15958,"",1.07,0.51,0.48,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1024","73","0","1990","A","","Bacon County, Georgia","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",17,61,1082093,0,0,339,17619,"",0.63,0.18,0.20,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1025","73","0","1990","A","","Bacon County, Georgia","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",11,125,1653973,0,0,255,13258,"",0.62,0.37,0.36,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13005","5","1026","73","0","1990","A","","Bacon County, Georgia","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",12,97,660052,0,0,131,6799,"",0.72,0.32,0.36,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
