"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13321","0","10","70","0","1990","A","","Worth County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",260,3257,47257256,0,0,279,14510,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,3.6,42,1.3,3124232,7.1,-16547122,-100.0,-272728,-100.0,16,6.1,783,5.7
"13321","1","10","71","0","1990","A","","Worth County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,53,1135891,0,0,414,21533,"",4.55,0.55,0.63,0.00,0.00,1.16,1.16,"",1,12.5,0,0.0,50195,4.6,0,0.0,0,0.0,21,5.3,1049,5.1
"13321","1","102","72","0","1990","A","","Worth County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,53,1135891,0,0,414,21533,"",4.57,0.57,0.66,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","1021","73","0","1990","A","","Worth County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.30,1.04,1.33,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","1028","73","0","1990","A","","Worth County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,23,408156,0,0,343,17810,"",4.89,0.46,0.44,0.00,0.00,0.96,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","48-49","74","0","1990","A","","Worth County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.46,1.15,1.41,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","491","75","0","1990","A","","Worth County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.57,1.21,1.50,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","4911","76","0","1990","A","","Worth County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.57,1.21,1.50,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","49111","77","0","1990","A","","Worth County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.57,1.21,1.50,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13321","1","491110","78","0","1990","A","","Worth County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,30,727735,0,0,469,24393,"",5.57,1.21,1.50,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
