"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"16075","0","10","70","0","1990","A","","Payette County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",342,4376,70058755,0,0,308,16011,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",20,6.2,206,4.9,5924570,9.2,-41202961,-100.0,-882924,-100.0,13,4.4,632,4.1
"16075","1","10","71","0","1990","A","","Payette County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,45,1096704,0,0,469,24371,"",3.07,0.35,0.41,0.00,0.00,1.19,1.19,"",0,0.0,6,15.4,100538,10.1,0,0.0,0,0.0,-22,-4.5,-1171,-4.6
"16075","1","102","72","0","1990","A","","Payette County, Idaho","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,45,1096704,0,0,469,24371,"",3.09,0.36,0.43,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","1021","73","0","1990","A","","Payette County, Idaho","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.01,0.67,0.91,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","1028","73","0","1990","A","","Payette County, Idaho","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,15,279943,0,0,371,19306,"",4.46,0.22,0.20,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","48-49","74","0","1990","A","","Payette County, Idaho","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.04,0.74,0.96,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","491","75","0","1990","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.06,0.78,1.02,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","4911","76","0","1990","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.06,0.78,1.02,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","49111","77","0","1990","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.06,0.78,1.02,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16075","1","491110","78","0","1990","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,26,733850,0,0,541,28135,"",1.06,0.78,1.02,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
