"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18121","0","10","70","0","1990","A","","Parke County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",302,3191,48039182,0,0,290,15054,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-15,-4.7,99,3.2,3416437,7.7,-15698422,-100.0,-244774,-100.0,13,4.7,623,4.3
"18121","1","10","71","0","1990","A","","Parke County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,53,1199518,0,0,433,22491,"",1.74,0.56,0.66,0.00,0.00,1.16,1.16,"",0,0.0,-2,-3.6,84823,7.6,0,0.0,0,0.0,44,11.3,2224,11.0
"18121","1","102","72","0","1990","A","","Parke County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,53,1199518,0,0,433,22491,"",1.75,0.59,0.69,0.00,0.00,1.16,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","1021","73","0","1990","A","","Parke County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.14,1.46,1.79,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","1028","73","0","1990","A","","Parke County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",1.68,0.18,0.15,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","48-49","74","0","1990","A","","Parke County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.18,1.61,1.90,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","491","75","0","1990","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.20,1.69,2.02,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","4911","76","0","1990","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.20,1.69,2.02,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","49111","77","0","1990","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.20,1.69,2.02,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","491110","78","0","1990","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,41,994507,0,0,468,24355,"",1.20,1.69,2.02,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","92","74","0","1990","A","","Parke County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",1.68,0.18,0.15,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","926","75","0","1990","A","","Parke County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",4.20,1.18,1.05,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","9261","76","0","1990","A","","Parke County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",4.20,1.18,1.05,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","92614","77","0","1990","A","","Parke County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",7.32,5.92,4.68,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","1","926140","78","0","1990","A","","Parke County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,142546,0,0,316,16448,"",7.32,5.92,4.68,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","2","10","71","0","1990","A","","Parke County, Indiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,248,5201396,0,0,403,20966,"",5.73,2.13,2.69,0.00,0.00,1.26,1.26,"",0,0.0,7,2.9,521704,11.1,0,0.0,0,0.0,30,8.0,1549,8.0
"18121","2","102","72","0","1990","A","","Parke County, Indiana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,248,5201396,0,0,403,20966,"",5.90,2.18,2.75,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","10","71","0","1990","A","","Parke County, Indiana","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,556,9501018,0,0,329,17093,"",3.69,1.79,2.03,0.00,0.00,1.13,1.14,"",-1,-5.0,12,2.2,714407,8.1,-1203504,-100.0,-29576,-100.0,19,6.1,942,5.8
"18121","3","102","72","0","1990","A","","Parke County, Indiana","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,556,9501018,0,0,329,17093,"",3.85,1.81,2.05,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","1025","73","0","1990","A","","Parke County, Indiana","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",2.44,1.73,2.53,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","1028","73","0","1990","A","","Parke County, Indiana","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,214,2280180,0,0,205,10651,"",5.25,2.35,1.63,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","61","74","0","1990","A","","Parke County, Indiana","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",2.93,1.97,2.85,0.00,0.00,1.44,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","611","75","0","1990","A","","Parke County, Indiana","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",2.93,1.97,2.85,0.00,0.00,1.44,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","6111","76","0","1990","A","","Parke County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",3.10,2.12,3.03,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","61111","77","0","1990","A","","Parke County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",3.10,2.12,3.03,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","611110","78","0","1990","A","","Parke County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,331,7142953,0,0,415,21602,"",3.10,2.12,3.03,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","92","74","0","1990","A","","Parke County, Indiana","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",14,214,2280180,0,0,205,10651,"",5.25,2.35,1.63,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","921","75","0","1990","A","","Parke County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,202,2211356,0,0,210,10934,"",7.01,3.22,2.50,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","9211","76","0","1990","A","","Parke County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,202,2211356,0,0,210,10934,"",7.01,3.22,2.50,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","92119","77","0","1990","A","","Parke County, Indiana","Local Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,202,2211356,0,0,210,10934,"",64.83,34.46,28.71,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","3","921190","78","0","1990","A","","Parke County, Indiana","Local Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,202,2211356,0,0,210,10934,"",64.83,34.46,28.71,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","10","71","0","1990","A","","Parke County, Indiana","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",263,2334,32137250,0,0,265,13770,"",0.90,0.87,0.81,0.00,0.00,0.93,0.93,"",-14,-5.1,81,3.6,2095503,7.0,-14494918,-100.0,-215198,-100.0,9,3.5,436,3.3
"18121","5","101","72","0","1990","A","","Parke County, Indiana","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",42,616,10390449,0,0,324,16865,"",0.72,0.85,0.82,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1011","73","0","1990","A","","Parke County, Indiana","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",9,37,366094,0,0,193,10030,"",1.45,0.72,0.49,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1012","73","0","1990","A","","Parke County, Indiana","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",22,141,2568695,0,0,351,18228,"",0.67,0.93,1.00,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1013","73","0","1990","A","","Parke County, Indiana","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",12,439,7455660,0,0,327,16996,"",0.62,0.84,0.80,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","102","72","0","1990","A","","Parke County, Indiana","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",221,1718,21746801,0,0,243,12660,"",0.95,0.88,0.81,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1021","73","0","1990","A","","Parke County, Indiana","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",92,723,10061917,0,0,268,13920,"",1.16,1.09,1.12,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1023","73","0","1990","A","","Parke County, Indiana","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",18,182,2490153,0,0,263,13663,"",0.69,0.91,0.69,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1025","73","0","1990","A","","Parke County, Indiana","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",21,316,3850710,0,0,234,12173,"",0.81,1.01,0.85,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1026","73","0","1990","A","","Parke County, Indiana","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",31,289,1972408,0,0,131,6837,"",1.27,1.04,1.10,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","1027","73","0","1990","A","","Parke County, Indiana","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",24,65,638172,0,0,188,9793,"",0.72,0.64,0.62,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","23","74","0","1990","A","","Parke County, Indiana","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",22,141,2568695,0,0,351,18228,"",0.67,0.93,1.00,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","238","75","0","1990","A","","Parke County, Indiana","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,37,529623,0,0,279,14510,"",0.45,0.42,0.37,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","31-33","74","0","1990","A","","Parke County, Indiana","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,439,7455660,0,0,327,16996,"",0.62,0.84,0.80,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","42","74","0","1990","A","","Parke County, Indiana","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",18,214,2419162,0,0,217,11296,"",0.75,1.41,0.81,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","424","75","0","1990","A","","Parke County, Indiana","Private","Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,190,1912030,0,0,193,10050,"",1.16,3.80,2.14,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","44-45","74","0","1990","A","","Parke County, Indiana","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",61,392,4083350,0,0,201,10430,"",1.30,1.00,1.05,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18121","5","441","75","0","1990","A","","Parke County, Indiana","Private","Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,68,1008639,0,0,285,14833,"",1.87,1.51,1.47,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
