"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18147","0","10","70","0","1990","A","","Spencer County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",383,5902,114284459,0,0,372,19362,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-9,-2.3,-228,-3.7,-4700319,-4.0,-35381229,-100.0,-603093,-100.0,-1,-0.3,-48,-0.2
"18147","1","10","71","0","1990","A","","Spencer County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,81,1655636,0,0,393,20419,"",1.71,0.46,0.38,0.00,0.00,0.82,0.82,"",0,0.0,-2,-2.4,40361,2.5,0,0.0,0,0.0,19,5.1,958,4.9
"18147","1","102","72","0","1990","A","","Spencer County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,81,1655636,0,0,393,20419,"",1.72,0.48,0.40,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","1021","73","0","1990","A","","Spencer County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,72,1467428,0,0,393,20452,"",1.80,1.38,1.11,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","1028","73","0","1990","A","","Spencer County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,188208,0,0,388,20165,"",1.33,0.10,0.08,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","48-49","74","0","1990","A","","Spencer County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,72,1467428,0,0,393,20452,"",1.85,1.52,1.18,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","491","75","0","1990","A","","Spencer County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,49,1117290,0,0,440,22880,"",0.95,1.09,0.95,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","4911","76","0","1990","A","","Spencer County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,49,1117290,0,0,440,22880,"",0.95,1.09,0.95,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","49111","77","0","1990","A","","Spencer County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,49,1117290,0,0,440,22880,"",0.95,1.09,0.95,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18147","1","491110","78","0","1990","A","","Spencer County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,49,1117290,0,0,440,22880,"",0.95,1.09,0.95,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
