"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21007","0","10","70","0","1990","A","","Ballard County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",172,2303,57196779,0,0,478,24831,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,1.8,151,7.0,3962156,7.4,-16563885,-100.0,-360584,-100.0,3,0.6,94,0.4
"21007","1","10","71","0","1990","A","","Ballard County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,42,909998,0,0,416,21624,"",6.11,0.62,0.42,0.00,0.00,0.68,0.68,"",0,0.0,2,5.0,96115,11.8,0,0.0,0,0.0,25,6.4,1277,6.3
"21007","1","102","72","0","1990","A","","Ballard County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,42,909998,0,0,416,21624,"",6.15,0.64,0.44,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","1021","73","0","1990","A","","Ballard County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.01,1.38,0.96,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","1028","73","0","1990","A","","Ballard County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,176451,0,0,357,18574,"",4.44,0.28,0.16,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","48-49","74","0","1990","A","","Ballard County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.26,1.52,1.01,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","491","75","0","1990","A","","Ballard County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.42,1.60,1.08,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","4911","76","0","1990","A","","Ballard County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.42,1.60,1.08,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","49111","77","0","1990","A","","Ballard County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.42,1.60,1.08,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21007","1","491110","78","0","1990","A","","Ballard County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,28,633080,0,0,434,22543,"",8.42,1.60,1.08,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
