"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21165","0","10","70","0","1990","A","","Menifee County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",80,570,7915327,0,0,267,13887,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,9.6,11,2.0,614782,8.4,-2097650,-100.0,-76924,-100.0,16,6.4,827,6.3
"21165","1","10","71","0","1990","A","","Menifee County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,74,1583024,0,0,410,21344,"",14.78,4.38,5.26,0.00,0.00,1.20,1.20,"",0,0.0,5,7.2,186409,13.3,0,0.0,0,0.0,21,5.4,1104,5.5
"21165","1","102","72","0","1990","A","","Menifee County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,74,1583024,0,0,410,21344,"",14.86,4.57,5.50,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","1021","73","0","1990","A","","Menifee County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",12.92,2.39,2.90,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","1028","73","0","1990","A","","Menifee County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,58,1230334,0,0,407,21152,"",15.90,6.64,7.88,0.00,0.00,1.19,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","48-49","74","0","1990","A","","Menifee County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",13.32,2.63,3.07,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","491","75","0","1990","A","","Menifee County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",13.58,2.77,3.27,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","4911","76","0","1990","A","","Menifee County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",13.58,2.77,3.27,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","49111","77","0","1990","A","","Menifee County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",13.58,2.77,3.27,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21165","1","491110","78","0","1990","A","","Menifee County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,265139,0,0,437,22726,"",13.58,2.77,3.27,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
