"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21197","0","10","70","0","1990","A","","Powell County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",184,2165,31946797,0,0,284,14755,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",16,9.5,142,7.0,2371502,8.0,-10315765,-100.0,-278141,-100.0,3,1.1,136,0.9
"21197","1","10","71","0","1990","A","","Powell County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,53,1026896,0,0,376,19529,"",6.42,0.83,0.85,0.00,0.00,1.03,1.03,"",0,0.0,7,15.2,138911,15.6,0,0.0,0,0.0,5,1.3,225,1.2
"21197","1","102","72","0","1990","A","","Powell County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,53,1026896,0,0,376,19529,"",6.46,0.86,0.88,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","1021","73","0","1990","A","","Powell County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.49,0.94,1.17,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","1028","73","0","1990","A","","Powell County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,31,515477,0,0,323,16809,"",5.53,0.93,0.82,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","48-49","74","0","1990","A","","Powell County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.72,1.04,1.24,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","491","75","0","1990","A","","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.87,1.09,1.32,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","4911","76","0","1990","A","","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.87,1.09,1.32,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","49111","77","0","1990","A","","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.87,1.09,1.32,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21197","1","491110","78","0","1990","A","","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,18,432594,0,0,456,23704,"",7.87,1.09,1.32,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
