"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21223","0","10","70","0","1990","A","","Trimble County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",74,1209,29444837,0,0,468,24351,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.4,-438,-26.6,-7025343,-19.3,-10975071,-100.0,-108757,-100.0,43,10.1,2208,10.0
"21223","1","10","71","0","1990","A","","Trimble County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,20,409332,0,0,390,20297,"",10.65,0.56,0.37,0.00,0.00,0.65,0.65,"",2,50.0,3,17.6,46182,12.7,0,0.0,0,0.0,-20,-4.9,-1064,-5.0
"21223","1","102","72","0","1990","A","","Trimble County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,20,409332,0,0,390,20297,"",10.71,0.58,0.38,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","1021","73","0","1990","A","","Trimble County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.31,1.31,0.95,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","1028","73","0","1990","A","","Trimble County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,6,84727,0,0,264,13740,"",13.75,0.32,0.15,0.00,0.00,0.44,0.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","48-49","74","0","1990","A","","Trimble County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.60,1.45,1.01,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","491","75","0","1990","A","","Trimble County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.79,1.52,1.07,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","4911","76","0","1990","A","","Trimble County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.79,1.52,1.07,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","49111","77","0","1990","A","","Trimble County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.79,1.52,1.07,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","491110","78","0","1990","A","","Trimble County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,324605,0,0,446,23186,"",9.79,1.52,1.07,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","92","74","0","1990","A","","Trimble County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,6,84727,0,0,264,13740,"",13.75,0.32,0.15,0.00,0.00,0.44,0.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","924","75","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,63441,0,0,407,21147,"",13.02,2.37,1.64,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","9241","76","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,63441,0,0,407,21147,"",13.02,2.37,1.64,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","92412","77","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,63441,0,0,407,21147,"",13.22,2.73,1.98,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","924120","78","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,63441,0,0,407,21147,"",13.22,2.73,1.98,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","926","75","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3,21286,0,0,129,6722,"",25.71,1.04,0.26,0.00,0.00,0.23,0.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","9261","76","0","1990","A","","Trimble County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,3,21286,0,0,129,6722,"",25.71,1.04,0.26,0.00,0.00,0.23,0.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","92614","77","0","1990","A","","Trimble County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,1,10592,0,0,244,12710,"",29.87,1.74,0.57,0.00,0.00,0.39,0.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","1","926140","78","0","1990","A","","Trimble County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,1,10592,0,0,244,12710,"",29.87,1.74,0.57,0.00,0.00,0.39,0.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","10","71","0","1990","A","","Trimble County, Kentucky","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,990,25637074,0,0,498,25900,"",0.77,0.98,1.06,0.00,0.00,1.08,1.08,"",0,0.0,-451,-31.3,-7315072,-22.2,-10942551,-100.0,-108367,-100.0,59,13.4,3033,13.3
"21223","5","101","72","0","1990","A","","Trimble County, Kentucky","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",16,65,725735,0,0,216,11223,"",1.12,0.24,0.09,0.00,0.00,0.40,0.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","1012","73","0","1990","A","","Trimble County, Kentucky","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",12,33,401714,0,0,238,12360,"",1.49,0.57,0.26,0.00,0.00,0.46,0.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","102","72","0","1990","A","","Trimble County, Kentucky","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,925,24911339,0,0,518,26926,"",0.68,1.26,1.51,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","1023","73","0","1990","A","","Trimble County, Kentucky","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",7,48,853094,0,0,344,17866,"",1.09,0.64,0.38,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","1024","73","0","1990","A","","Trimble County, Kentucky","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,34,937859,0,0,529,27517,"",0.41,0.29,0.29,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","1025","73","0","1990","A","","Trimble County, Kentucky","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,63,608485,0,0,186,9658,"",0.63,0.53,0.22,0.00,0.00,0.41,0.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","1026","73","0","1990","A","","Trimble County, Kentucky","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,27,116753,0,0,84,4378,"",1.00,0.26,0.11,0.00,0.00,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","23","74","0","1990","A","","Trimble County, Kentucky","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",12,33,401714,0,0,238,12360,"",1.49,0.57,0.26,0.00,0.00,0.46,0.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","238","75","0","1990","A","","Trimble County, Kentucky","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,16,160026,0,0,196,10214,"",1.44,0.47,0.18,0.00,0.00,0.39,0.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","44-45","74","0","1990","A","","Trimble County, Kentucky","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",8,45,288443,0,0,125,6482,"",0.70,0.30,0.12,0.00,0.00,0.41,0.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21223","5","62","74","0","1990","A","","Trimble County, Kentucky","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,62,606810,0,0,187,9722,"",0.51,0.60,0.25,0.00,0.00,0.41,0.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
