"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26095","0","10","70","0","1990","A","","Luce County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",184,2068,38569422,0,0,359,18648,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,109,5.6,2882115,8.1,-11472538,-100.0,-556311,-100.0,9,2.6,431,2.4
"26095","1","10","71","0","1990","A","","Luce County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,18,409932,0,0,438,22774,"",3.57,0.29,0.28,0.00,0.00,0.95,0.95,"",1,25.0,4,28.6,46363,12.8,0,0.0,0,0.0,-61,-12.2,-3195,-12.3
"26095","1","102","72","0","1990","A","","Luce County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,18,409932,0,0,438,22774,"",3.59,0.31,0.29,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","1021","73","0","1990","A","","Luce County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.62,0.71,0.85,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","1028","73","0","1990","A","","Luce County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,28778,0,0,121,6279,"",2.77,0.16,0.04,0.00,0.00,0.26,0.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","48-49","74","0","1990","A","","Luce County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.79,0.79,0.91,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","491","75","0","1990","A","","Luce County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.91,0.83,0.96,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","4911","76","0","1990","A","","Luce County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.91,0.83,0.96,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","49111","77","0","1990","A","","Luce County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.91,0.83,0.96,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26095","1","491110","78","0","1990","A","","Luce County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,381154,0,0,546,28409,"",5.91,0.83,0.96,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
