"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29510","0","10","70","0","1990","A","","St. Louis City, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9407,278463,7359403683,0,0,508,26429,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",256,2.8,-165,-0.1,292683427,4.1,-1530280998,-100.0,-20044014,-100.0,21,4.3,1067,4.2
"29510","1","10","71","0","1990","A","","St. Louis City, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,22789,705049656,0,0,595,30939,"",0.88,2.76,2.52,0.00,0.00,0.91,0.91,"",1,1.6,400,1.8,64020619,10.0,0,0.0,0,0.0,45,8.2,2308,8.1
"29510","1","102","72","0","1990","A","","St. Louis City, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",63,22789,705049656,0,0,595,30939,"",0.88,2.88,2.64,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1021","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.26,2.69,2.68,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1022","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",10.08,0.46,0.40,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1023","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.35,9.32,7.39,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1025","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",1.37,1.96,1.80,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1026","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",0.74,0.66,0.99,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","1028","73","0","1990","A","","St. Louis City, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",52,13852,407632800,0,0,566,29427,"",1.41,3.25,2.81,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","48-49","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.26,2.97,2.83,0.00,0.00,0.96,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","491","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.27,3.13,3.02,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","4911","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.27,3.13,3.02,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","49111","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.27,3.13,3.02,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","491110","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,6616,227679810,0,0,662,34415,"",0.27,3.13,3.02,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","51","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",10.08,0.46,0.40,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","511","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",64.49,6.64,7.25,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","5111","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Newspaper, book, and directory publishers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",64.49,6.64,7.25,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","51112","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Periodical publishers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",107.48,19.50,20.24,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","511120","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Periodical publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",107.48,19.50,20.24,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","52","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.35,9.49,7.46,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","522","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.41,25.19,25.32,0.00,0.00,1.01,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","5222","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.41,25.26,25.39,0.00,0.00,1.01,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","52229","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.41,25.26,25.39,0.00,0.00,1.01,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","522292","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,865,24318287,0,0,541,28108,"",0.89,52.95,54.68,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","62","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",1.50,2.06,1.87,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","622","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",2.41,2.12,1.92,0.00,0.00,0.91,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","6221","76","0","1990","A","","St. Louis City, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",2.52,2.20,1.99,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","62211","77","0","1990","A","","St. Louis City, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",2.52,2.20,1.99,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","622110","78","0","1990","A","","St. Louis City, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1330,42158684,0,0,610,31698,"",2.52,2.20,1.99,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","71","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",1.19,1.04,1.34,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","712","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",1.82,1.98,1.94,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","7121","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",1.82,1.98,1.94,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","71212","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Historical sites","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",23.88,52.51,76.91,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","712120","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Historical sites","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,110,2745866,0,0,480,24981,"",23.88,52.51,76.91,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","92","74","0","1990","A","","St. Louis City, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",52,13852,407632800,0,0,566,29427,"",1.41,3.25,2.81,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","921","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,961,24124522,0,0,483,25099,"",2.35,1.43,1.09,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","9211","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,961,24124522,0,0,483,25099,"",2.35,1.43,1.09,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","92113","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,558,15475370,0,0,533,27725,"",1.06,1.42,1.19,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","921130","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,558,15475370,0,0,533,27725,"",1.06,1.42,1.19,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","92119","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,403,8649152,0,0,413,21462,"",4.71,1.77,1.18,0.00,0.00,0.67,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","921190","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,403,8649152,0,0,413,21462,"",4.71,1.77,1.18,0.00,0.00,0.67,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","922","75","0","1990","A","","St. Louis City, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,563,19220731,0,0,657,34160,"",1.89,2.01,1.71,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","9221","76","0","1990","A","","St. Louis City, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,563,19220731,0,0,657,34160,"",1.89,2.01,1.71,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","92211","77","0","1990","A","","St. Louis City, Missouri","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,280,8036560,0,0,552,28711,"",1.54,4.51,3.63,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","1","922110","78","0","1990","A","","St. Louis City, Missouri","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,280,8036560,0,0,552,28711,"",1.54,4.51,3.63,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
