"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30001","0","10","70","0","1990","A","","Beaverhead County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",368,2629,43465858,0,0,318,16535,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",20,5.7,104,4.1,3276514,8.2,-26182123,-100.0,-281493,-100.0,12,3.9,619,3.9
"30001","1","10","71","0","1990","A","","Beaverhead County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,223,5248340,0,0,452,23509,"",7.14,2.86,3.18,0.00,0.00,1.11,1.11,"",1,5.3,-7,-3.0,163096,3.2,0,0.0,0,0.0,27,6.4,1400,6.3
"30001","1","102","72","0","1990","A","","Beaverhead County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,223,5248340,0,0,452,23509,"",7.18,2.99,3.32,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","1021","73","0","1990","A","","Beaverhead County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.81,1.12,1.24,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","1023","73","0","1990","A","","Beaverhead County, Montana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,114537,0,0,400,20825,"",8.88,6.85,5.90,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","1026","73","0","1990","A","","Beaverhead County, Montana","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,5,91129,0,0,345,17927,"",18.84,3.15,5.58,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","1028","73","0","1990","A","","Beaverhead County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,186,4419634,0,0,456,23708,"",10.37,4.62,5.15,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","48-49","74","0","1990","A","","Beaverhead County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.89,1.24,1.31,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","491","75","0","1990","A","","Beaverhead County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.95,1.30,1.40,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","4911","76","0","1990","A","","Beaverhead County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.95,1.30,1.40,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","49111","77","0","1990","A","","Beaverhead County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.95,1.30,1.40,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","491110","78","0","1990","A","","Beaverhead County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,26,623040,0,0,456,23735,"",2.95,1.30,1.40,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30001","1","52","74","0","1990","A","","Beaverhead County, Montana","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,114537,0,0,400,20825,"",8.92,6.97,5.95,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
