"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30039","0","10","70","0","1990","A","","Granite County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",106,691,10366923,0,0,288,15001,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,3.9,-11,-1.6,798360,8.3,-7384265,-100.0,-137183,-100.0,26,9.9,1371,10.1
"30039","1","10","71","0","1990","A","","Granite County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,48,911860,0,0,362,18834,"",6.20,2.35,2.31,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,84236,10.2,0,0.0,0,0.0,31,9.4,1592,9.2
"30039","1","102","72","0","1990","A","","Granite County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,48,911860,0,0,362,18834,"",6.23,2.45,2.42,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","1021","73","0","1990","A","","Granite County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.50,1.15,1.20,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","1028","73","0","1990","A","","Granite County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,42,768375,0,0,355,18441,"",7.20,3.97,3.76,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","48-49","74","0","1990","A","","Granite County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.70,1.27,1.27,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","491","75","0","1990","A","","Granite County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.83,1.33,1.35,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","4911","76","0","1990","A","","Granite County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.83,1.33,1.35,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","49111","77","0","1990","A","","Granite County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.83,1.33,1.35,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30039","1","491110","78","0","1990","A","","Granite County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,143485,0,0,409,21257,"",6.83,1.33,1.35,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
