"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31000","0","10","50","0","1990","A","","Nebraska -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",43327,710711,13207675844,0,0,357,18584,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-240,-0.6,20035,2.9,989683457,8.1,-3597436419,-100.0,-44387419,-100.0,17,5.0,895,5.1
"31000","1","10","51","0","1990","A","","Nebraska -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",614,18009,479428179,0,0,512,26622,"",1.86,0.86,0.95,0.00,0.00,1.12,1.12,"",73,13.5,310,1.8,29896505,6.7,0,0.0,0,0.0,24,4.9,1224,4.8
"31000","1","102","52","0","1990","A","","Nebraska -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",614,18009,479428179,0,0,512,26622,"",1.87,0.89,1.00,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1021","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",94,6222,176890735,0,0,547,28430,"",0.75,0.99,1.16,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1023","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",43,372,8243852,0,0,426,22146,"",3.24,1.57,1.40,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1024","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",26,2225,47676547,0,0,412,21432,"",3.42,4.82,4.39,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1025","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",5,1967,55273714,0,0,540,28095,"",1.49,1.14,1.32,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1026","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",1,19,558823,0,0,558,29030,"",0.16,0.04,0.11,0.00,0.00,2.51,2.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","1028","53","0","1990","A","","Nebraska -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",443,7165,189874563,0,0,510,26502,"",2.60,0.66,0.73,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","44-45","54","0","1990","A","","Nebraska -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",1,396,4003028,0,0,195,10115,"",0.48,0.89,0.91,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","452","55","0","1990","A","","Nebraska -- Statewide","Federal Government","General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,396,4003028,0,0,195,10115,"",0.57,0.95,1.05,0.00,0.00,1.11,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","4521","56","0","1990","A","","Nebraska -- Statewide","Federal Government","Department stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,396,4003028,0,0,195,10115,"",1.26,1.67,1.84,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","45211","57","0","1990","A","","Nebraska -- Statewide","Federal Government","Department stores","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,396,4003028,0,0,195,10115,"",1.26,1.67,1.84,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","452111","58","0","1990","A","","Nebraska -- Statewide","Federal Government","Department stores, except discount","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,396,4003028,0,0,195,10115,"",2.09,2.65,3.02,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","48-49","54","0","1990","A","","Nebraska -- Statewide","Federal Government","Transportation and warehousing","State, NAICS Sector -- by ownership sector","All establishment sizes",93,5826,172887707,0,0,571,29674,"",0.76,1.02,1.20,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","491","55","0","1990","A","","Nebraska -- Statewide","Federal Government","Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",93,5826,172887707,0,0,571,29674,"",0.78,1.08,1.28,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","4911","56","0","1990","A","","Nebraska -- Statewide","Federal Government","Postal service","State, NAICS 4-digit -- by ownership sector","All establishment sizes",93,5826,172887707,0,0,571,29674,"",0.78,1.08,1.28,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","1","49111","57","0","1990","A","","Nebraska -- Statewide","Federal Government","Postal service","State, NAICS 5-digit -- by ownership sector","All establishment sizes",93,5826,172887707,0,0,571,29674,"",0.78,1.08,1.28,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
