"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35007","0","10","70","0","1990","A","","Colfax County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",482,4589,69152784,0,0,290,15071,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,1.9,92,2.0,4401269,6.8,-26452983,-100.0,-606651,-100.0,14,5.1,673,4.7
"35007","1","10","71","0","1990","A","","Colfax County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,57,1341492,0,0,451,23432,"",2.18,0.42,0.51,0.00,0.00,1.21,1.21,"",1,14.3,8,16.3,172586,14.8,0,0.0,0,0.0,-7,-1.5,-423,-1.8
"35007","1","102","72","0","1990","A","","Colfax County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,57,1341492,0,0,451,23432,"",2.19,0.44,0.53,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","1021","73","0","1990","A","","Colfax County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,30,801083,0,0,519,27003,"",0.71,0.74,1.00,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","1023","73","0","1990","A","","Colfax County, New Mexico","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,48044,0,0,462,24022,"",6.78,1.31,1.55,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","1028","73","0","1990","A","","Colfax County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,26,492365,0,0,370,19246,"",3.17,0.37,0.36,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","48-49","74","0","1990","A","","Colfax County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,30,801083,0,0,519,27003,"",0.74,0.82,1.06,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","491","75","0","1990","A","","Colfax County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,801083,0,0,519,27003,"",0.75,0.86,1.13,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","4911","76","0","1990","A","","Colfax County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,801083,0,0,519,27003,"",0.75,0.86,1.13,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35007","1","49111","77","0","1990","A","","Colfax County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,801083,0,0,519,27003,"",0.75,0.86,1.13,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
