"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38081","0","10","70","0","1990","A","","Sargent County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",150,1675,35830285,0,0,411,21387,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,68,4.2,-179705,-0.5,-13710210,-100.0,-233506,-100.0,-19,-4.4,-1021,-4.6
"38081","1","10","71","0","1990","A","","Sargent County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,54,1074076,0,0,385,20014,"",7.01,1.09,0.79,0.00,0.00,0.73,0.73,"",1,14.3,2,3.8,51756,5.1,0,0.0,0,0.0,7,1.9,354,1.8
"38081","1","102","72","0","1990","A","","Sargent County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,54,1074076,0,0,385,20014,"",7.05,1.14,0.82,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","1021","73","0","1990","A","","Sargent County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",6.89,1.76,1.36,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","1028","73","0","1990","A","","Sargent County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,24,445606,0,0,362,18828,"",6.78,0.93,0.63,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","48-49","74","0","1990","A","","Sargent County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",7.10,1.94,1.44,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","491","75","0","1990","A","","Sargent County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",7.24,2.04,1.53,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","4911","76","0","1990","A","","Sargent County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",7.24,2.04,1.53,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","49111","77","0","1990","A","","Sargent County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",7.24,2.04,1.53,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","491110","78","0","1990","A","","Sargent County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,26,563527,0,0,422,21956,"",7.24,2.04,1.53,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","92","74","0","1990","A","","Sargent County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,24,445606,0,0,362,18828,"",6.78,0.93,0.63,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","924","75","0","1990","A","","Sargent County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,250087,0,0,404,20986,"",12.85,6.84,5.31,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","9241","76","0","1990","A","","Sargent County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,250087,0,0,404,20986,"",12.85,6.84,5.31,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","1","92412","77","0","1990","A","","Sargent County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,250087,0,0,404,20986,"",13.04,7.89,6.42,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
