"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39141","0","10","70","0","1990","A","","Ross County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1241,22047,490355390,0,0,428,22241,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.2,102,0.5,25475666,5.5,-118250431,-100.0,-2943507,-100.0,21,5.2,1058,5.0
"39141","1","10","71","0","1990","A","","Ross County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,1592,48696624,0,0,588,30584,"",1.69,2.44,2.61,0.00,0.00,1.07,1.07,"",0,0.0,-19,-1.2,2956060,6.5,0,0.0,0,0.0,42,7.7,2192,7.7
"39141","1","102","72","0","1990","A","","Ross County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,1592,48696624,0,0,588,30584,"",1.70,2.54,2.73,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","1021","73","0","1990","A","","Ross County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.67,0.91,0.91,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","1025","73","0","1990","A","","Ross County, Ohio","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1330,41600427,0,0,602,31288,"",10.42,24.79,26.69,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","1026","73","0","1990","A","","Ross County, Ohio","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,31,396021,0,0,243,12639,"",11.17,2.33,2.15,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","1028","73","0","1990","A","","Ross County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,55,1540015,0,0,541,28128,"",1.43,0.16,0.16,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","48-49","74","0","1990","A","","Ross County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.72,1.00,0.96,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","491","75","0","1990","A","","Ross County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.75,1.06,1.03,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","4911","76","0","1990","A","","Ross County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.75,1.06,1.03,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","49111","77","0","1990","A","","Ross County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.75,1.06,1.03,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","491110","78","0","1990","A","","Ross County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,177,5160161,0,0,562,29222,"",1.75,1.06,1.03,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","62","74","0","1990","A","","Ross County, Ohio","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1330,41600427,0,0,602,31288,"",11.39,26.00,27.74,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39141","1","622","75","0","1990","A","","Ross County, Ohio","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1330,41600427,0,0,602,31288,"",18.24,26.84,28.44,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
