"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41000","0","10","50","0","1990","A","","Oregon -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",82641,1235891,26364956097,0,0,410,21333,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4131,5.3,44762,3.8,2180888515,9.0,-11331919978,-100.0,-351775305,-100.0,20,5.1,1030,5.1
"41000","1","10","51","0","1990","A","","Oregon -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",826,33740,1009766151,0,0,576,29928,"",1.31,0.92,1.01,0.00,0.00,1.09,1.09,"",0,0.0,1257,3.9,94440223,10.3,0,0.0,0,0.0,35,6.5,1750,6.2
"41000","1","101","52","0","1990","A","","Oregon -- Statewide","Federal Government","Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",74,7998,193040626,0,0,464,24135,"",20.19,5.27,4.41,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1011","53","0","1990","A","","Oregon -- Statewide","Federal Government","Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",74,7998,193040626,0,0,464,24135,"",30.35,52.03,57.10,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","102","52","0","1990","A","","Oregon -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",753,25741,816725525,0,0,610,31728,"",1.20,0.73,0.85,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1021","53","0","1990","A","","Oregon -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",309,10024,336377389,0,0,645,33556,"",1.29,0.92,1.10,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1023","53","0","1990","A","","Oregon -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",23,171,4364370,0,0,491,25548,"",0.91,0.42,0.37,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1024","53","0","1990","A","","Oregon -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",35,1734,59328484,0,0,658,34221,"",2.41,2.16,2.74,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1025","53","0","1990","A","","Oregon -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",4,3303,112543976,0,0,655,34073,"",0.63,1.10,1.34,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41000","1","1026","53","0","1990","A","","Oregon -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",7,112,2664284,0,0,457,23788,"",0.59,0.15,0.27,0.00,0.00,1.79,1.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
