"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45001","0","10","70","0","1990","A","","Abbeville County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",321,6737,125063356,0,0,357,18563,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6,1.9,168,2.6,6121438,5.1,-38236761,-100.0,-871625,-100.0,9,2.6,457,2.5
"45001","1","10","71","0","1990","A","","Abbeville County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,61,1486309,0,0,468,24332,"",2.86,0.31,0.31,0.00,0.00,1.02,1.02,"",1,16.7,9,17.3,207791,16.3,0,0.0,0,0.0,-4,-0.8,-254,-1.0
"45001","1","102","72","0","1990","A","","Abbeville County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,61,1486309,0,0,468,24332,"",2.88,0.32,0.33,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","1021","73","0","1990","A","","Abbeville County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.07,0.62,0.67,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","1024","73","0","1990","A","","Abbeville County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,76143,0,0,732,38072,"",17.74,0.46,0.74,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","1028","73","0","1990","A","","Abbeville County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,23,436238,0,0,373,19388,"",3.96,0.22,0.18,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","48-49","74","0","1990","A","","Abbeville County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.11,0.69,0.71,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","491","75","0","1990","A","","Abbeville County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.13,0.72,0.76,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","4911","76","0","1990","A","","Abbeville County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.13,0.72,0.76,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","49111","77","0","1990","A","","Abbeville County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.13,0.72,0.76,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001","1","491110","78","0","1990","A","","Abbeville County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,37,973928,0,0,512,26622,"",1.13,0.72,0.76,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
