"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46015","0","10","70","0","1990","A","","Brule County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",253,1794,22040119,0,0,236,12289,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.4,115,6.8,1450538,7.0,-6979028,-100.0,-42078,-100.0,1,0.4,26,0.2
"46015","1","10","71","0","1990","A","","Brule County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,46,1006709,0,0,420,21845,"",5.19,0.87,1.20,0.00,0.00,1.39,1.38,"",2,25.0,-2,-4.2,28334,2.9,0,0.0,0,0.0,29,7.4,1463,7.2
"46015","1","102","72","0","1990","A","","Brule County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,46,1006709,0,0,420,21845,"",5.22,0.90,1.26,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","1021","73","0","1990","A","","Brule County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,18,439794,0,0,466,24209,"",4.08,1.14,1.73,0.00,0.00,1.51,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","1023","73","0","1990","A","","Brule County, South Dakota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,118678,0,0,351,18258,"",12.91,11.71,12.05,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","1028","73","0","1990","A","","Brule County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,21,448237,0,0,402,20929,"",6.03,0.76,1.03,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","48-49","74","0","1990","A","","Brule County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,18,439794,0,0,466,24209,"",4.21,1.25,1.83,0.00,0.00,1.45,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","491","75","0","1990","A","","Brule County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,18,439794,0,0,466,24209,"",4.30,1.32,1.95,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","4911","76","0","1990","A","","Brule County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,18,439794,0,0,466,24209,"",4.30,1.32,1.95,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46015","1","49111","77","0","1990","A","","Brule County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,18,439794,0,0,466,24209,"",4.30,1.32,1.95,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
