"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46059","0","10","70","0","1990","A","","Hand County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",178,1060,14258510,0,0,259,13450,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-2.7,-24,-2.2,947502,7.1,-4090741,-100.0,-7549,-100.0,23,9.7,1171,9.5
"46059","1","10","71","0","1990","A","","Hand County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,30,574056,0,0,364,18925,"",4.43,0.96,1.06,0.00,0.00,1.09,1.10,"",1,20.0,3,11.1,77191,15.5,0,0.0,0,0.0,11,3.1,523,2.8
"46059","1","102","72","0","1990","A","","Hand County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,30,574056,0,0,364,18925,"",4.45,1.00,1.11,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","1021","73","0","1990","A","","Hand County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",3.87,1.07,1.37,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","1028","73","0","1990","A","","Hand County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,229221,0,0,311,16180,"",4.29,0.86,0.81,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","48-49","74","0","1990","A","","Hand County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",3.99,1.18,1.45,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","491","75","0","1990","A","","Hand County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",4.07,1.24,1.55,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","4911","76","0","1990","A","","Hand County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",4.07,1.24,1.55,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","49111","77","0","1990","A","","Hand County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",4.07,1.24,1.55,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46059","1","491110","78","0","1990","A","","Hand County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,226110,0,0,458,23801,"",4.07,1.24,1.55,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
