"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46087","0","10","70","0","1990","A","","McCook County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",223,1391,18188579,0,0,252,13078,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-9,-3.9,16,1.2,1434933,8.6,-6195172,-100.0,-26607,-100.0,18,7.7,894,7.3
"46087","1","10","71","0","1990","A","","McCook County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,48,944367,0,0,382,19847,"",5.30,1.17,1.37,0.00,0.00,1.18,1.18,"",1,12.5,0,0.0,70714,8.1,0,0.0,0,0.0,32,9.1,1646,9.0
"46087","1","102","72","0","1990","A","","McCook County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,48,944367,0,0,382,19847,"",5.33,1.22,1.43,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","1021","73","0","1990","A","","McCook County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.63,1.88,2.46,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","1028","73","0","1990","A","","McCook County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,292734,0,0,356,18488,"",5.70,0.75,0.82,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","48-49","74","0","1990","A","","McCook County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.78,2.07,2.60,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","491","75","0","1990","A","","McCook County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.87,2.18,2.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","4911","76","0","1990","A","","McCook County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.87,2.18,2.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","49111","77","0","1990","A","","McCook County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.87,2.18,2.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","491110","78","0","1990","A","","McCook County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,23,516936,0,0,429,22314,"",4.87,2.18,2.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","92","74","0","1990","A","","McCook County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,16,292734,0,0,356,18488,"",5.70,0.75,0.82,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","924","75","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,219281,0,0,347,18023,"",8.64,8.23,9.17,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","9241","76","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,219281,0,0,347,18023,"",8.64,8.23,9.17,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","92412","77","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,219281,0,0,347,18023,"",8.77,9.50,11.09,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","924120","78","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,219281,0,0,347,18023,"",8.77,9.50,11.09,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","926","75","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,47052,0,0,339,17645,"",5.69,0.90,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","9261","76","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,47052,0,0,339,17645,"",5.69,0.90,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","92611","77","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,17574,0,0,203,10544,"",9.46,1.15,0.97,0.00,0.00,1.00,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","926110","78","0","1990","A","","McCook County, South Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,17574,0,0,203,10544,"",9.46,1.15,0.97,0.00,0.00,1.00,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","92614","77","0","1990","A","","McCook County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,29478,0,0,567,29478,"",4.96,1.51,2.56,0.00,0.00,1.69,1.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","926140","78","0","1990","A","","McCook County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,29478,0,0,567,29478,"",4.96,1.51,2.56,0.00,0.00,1.69,1.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","928","75","0","1990","A","","McCook County, South Dakota","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,26401,0,0,508,26401,"",11.71,0.11,0.17,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","9281","76","0","1990","A","","McCook County, South Dakota","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,26401,0,0,508,26401,"",11.71,0.11,0.17,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","92811","77","0","1990","A","","McCook County, South Dakota","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,26401,0,0,508,26401,"",12.36,0.11,0.17,0.00,0.00,1.61,1.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","1","928110","78","0","1990","A","","McCook County, South Dakota","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,26401,0,0,508,26401,"",12.36,0.11,0.17,0.00,0.00,1.61,1.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","3","1028","73","0","1990","A","","McCook County, South Dakota","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,95,710145,0,0,143,7456,"",3.56,2.40,1.34,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","3","92","74","0","1990","A","","McCook County, South Dakota","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,95,710145,0,0,143,7456,"",3.56,2.40,1.34,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","10","71","0","1990","A","","McCook County, South Dakota","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",188,1036,13382445,0,0,248,12914,"",0.87,0.89,0.89,0.00,0.00,1.00,1.00,"",-12,-6.0,21,2.1,1248584,10.3,-5772248,-100.0,-26595,-100.0,19,8.3,960,8.0
"46087","5","101","72","0","1990","A","","McCook County, South Dakota","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",23,246,3840420,0,0,301,15643,"",0.53,0.78,0.80,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1012","73","0","1990","A","","McCook County, South Dakota","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",13,24,292398,0,0,236,12268,"",0.54,0.36,0.30,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","102","72","0","1990","A","","McCook County, South Dakota","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",165,791,9542025,0,0,232,12067,"",0.96,0.93,0.94,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1021","73","0","1990","A","","McCook County, South Dakota","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",73,291,4096124,0,0,271,14080,"",1.25,1.01,1.21,0.00,0.00,1.19,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1023","73","0","1990","A","","McCook County, South Dakota","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",19,62,905532,0,0,279,14508,"",0.99,0.71,0.66,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1024","73","0","1990","A","","McCook County, South Dakota","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",14,43,571586,0,0,253,13165,"",0.48,0.32,0.28,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1025","73","0","1990","A","","McCook County, South Dakota","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",14,217,2334496,0,0,207,10766,"",0.73,1.59,1.36,0.00,0.00,0.85,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","1026","73","0","1990","A","","McCook County, South Dakota","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",27,137,481101,0,0,68,3522,"",1.50,1.13,0.71,0.00,0.00,0.63,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","23","74","0","1990","A","","McCook County, South Dakota","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",13,24,292398,0,0,236,12268,"",0.54,0.36,0.30,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","238","75","0","1990","A","","McCook County, South Dakota","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,16,185648,0,0,220,11424,"",0.34,0.41,0.34,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","42","74","0","1990","A","","McCook County, South Dakota","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",24,85,1380334,0,0,314,16335,"",1.36,1.28,1.23,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","423","75","0","1990","A","","McCook County, South Dakota","Private","Merchant wholesalers, durable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,167385,0,0,261,13572,"",0.38,0.36,0.29,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","44-45","74","0","1990","A","","McCook County, South Dakota","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",36,165,1848928,0,0,215,11177,"",1.04,0.96,1.25,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","441","75","0","1990","A","","McCook County, South Dakota","Private","Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,37,663889,0,0,346,17983,"",1.27,1.88,2.55,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","444","75","0","1990","A","","McCook County, South Dakota","Private","Building material and garden supply stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,28,482939,0,0,327,16995,"",3.36,2.38,3.94,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","445","75","0","1990","A","","McCook County, South Dakota","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,41,250844,0,0,117,6106,"",0.85,1.19,0.96,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","4451","76","0","1990","A","","McCook County, South Dakota","Private","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,41,250844,0,0,117,6106,"",1.50,1.39,1.14,0.00,0.00,0.81,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","44511","77","0","1990","A","","McCook County, South Dakota","Private","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,41,250844,0,0,117,6106,"",2.21,1.51,1.21,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","445110","78","0","1990","A","","McCook County, South Dakota","Private","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,41,250844,0,0,117,6106,"",2.21,1.51,1.21,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","447","75","0","1990","A","","McCook County, South Dakota","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,27,193510,0,0,136,7058,"",1.71,2.33,2.67,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","4471","76","0","1990","A","","McCook County, South Dakota","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,27,193510,0,0,136,7058,"",1.71,2.33,2.67,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","524","75","0","1990","A","","McCook County, South Dakota","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,8,52297,0,0,126,6537,"",1.51,0.32,0.13,0.00,0.00,0.39,0.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","621","75","0","1990","A","","McCook County, South Dakota","Private","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,34,767353,0,0,433,22514,"",0.57,0.89,1.11,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46087","5","722","75","0","1990","A","","McCook County, South Dakota","Private","Food services and drinking places","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,111,361487,0,0,62,3249,"",1.58,1.38,0.97,0.00,0.00,0.69,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
