"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46101","0","10","70","0","1990","A","","Moody County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",203,1734,28895704,0,0,320,16663,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-2.4,63,3.8,3144972,12.2,-8829306,-100.0,-34300,-100.0,24,8.1,1253,8.1
"46101","1","10","71","0","1990","A","","Moody County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,170,3841018,0,0,435,22594,"",5.82,3.31,3.50,0.00,0.00,1.06,1.06,"",1,12.5,2,1.2,371300,10.7,0,0.0,0,0.0,38,9.6,1941,9.4
"46101","1","102","72","0","1990","A","","Moody County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,170,3841018,0,0,435,22594,"",5.86,3.45,3.66,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","1021","73","0","1990","A","","Moody County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.09,1.24,1.39,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","1025","73","0","1990","A","","Moody County, South Dakota","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",63.72,31.05,33.33,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","1028","73","0","1990","A","","Moody County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,252967,0,0,312,16233,"",5.01,0.60,0.44,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","48-49","74","0","1990","A","","Moody County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.25,1.37,1.47,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","491","75","0","1990","A","","Moody County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.35,1.44,1.56,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","4911","76","0","1990","A","","Moody County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.35,1.44,1.56,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","49111","77","0","1990","A","","Moody County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.35,1.44,1.56,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","491110","78","0","1990","A","","Moody County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,19,462861,0,0,460,23941,"",5.35,1.44,1.56,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","61","74","0","1990","A","","Moody County, South Dakota","Federal Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",766.21,667.11,881.97,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","611","75","0","1990","A","","Moody County, South Dakota","Federal Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",766.21,667.11,881.97,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","6111","76","0","1990","A","","Moody County, South Dakota","Federal Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",1422.97,2008.02,2856.46,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","61111","77","0","1990","A","","Moody County, South Dakota","Federal Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",1422.97,2008.02,2856.46,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","611110","78","0","1990","A","","Moody County, South Dakota","Federal Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,131,3060976,0,0,450,23426,"",1422.97,2008.02,2856.46,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","92","74","0","1990","A","","Moody County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,252967,0,0,312,16233,"",5.01,0.60,0.44,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","924","75","0","1990","A","","Moody County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,195188,0,0,298,15512,"",9.50,7.15,5.14,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46101","1","9241","76","0","1990","A","","Moody County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,195188,0,0,298,15512,"",9.50,7.15,5.14,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
