"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46115","0","10","70","0","1990","A","","Spink County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",281,2315,32050254,0,0,266,13843,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,0.7,68,3.0,2371975,8.0,-7449771,-100.0,-25299,-100.0,13,5.1,636,4.8
"46115","1","10","71","0","1990","A","","Spink County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,62,1297848,0,0,403,20961,"",4.21,0.90,1.07,0.00,0.00,1.18,1.18,"",1,12.5,2,3.3,85872,7.1,0,0.0,0,0.0,15,3.9,762,3.8
"46115","1","102","72","0","1990","A","","Spink County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,62,1297848,0,0,403,20961,"",4.23,0.94,1.11,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","1021","73","0","1990","A","","Spink County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",4.90,1.86,2.28,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","1028","73","0","1990","A","","Spink County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,360409,0,0,363,18886,"",3.62,0.54,0.57,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","48-49","74","0","1990","A","","Spink County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",5.05,2.05,2.41,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","491","75","0","1990","A","","Spink County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",5.16,2.16,2.57,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","4911","76","0","1990","A","","Spink County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",5.16,2.16,2.57,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","49111","77","0","1990","A","","Spink County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",5.16,2.16,2.57,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115","1","491110","78","0","1990","A","","Spink County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,38,844109,0,0,426,22165,"",5.16,2.16,2.57,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
