"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48045","0","10","70","0","1990","A","","Briscoe County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",91,395,5512755,0,0,269,13971,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",22,31.9,66,20.1,891081,19.3,-1668359,-100.0,-24482,-100.0,-1,-0.4,-76,-0.5
"48045","1","10","71","0","1990","A","","Briscoe County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,20,366094,0,0,353,18381,"",5.77,1.71,1.75,0.00,0.00,1.02,1.02,"",1,33.3,4,25.0,6140,1.7,0,0.0,0,0.0,-79,-18.3,-4116,-18.3
"48045","1","102","72","0","1990","A","","Briscoe County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,20,366094,0,0,353,18381,"",5.81,1.78,1.83,0.00,0.00,1.02,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","1021","73","0","1990","A","","Briscoe County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.78,2.58,2.47,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","1028","73","0","1990","A","","Briscoe County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,208429,0,0,359,18665,"",8.39,1.82,1.92,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","48-49","74","0","1990","A","","Briscoe County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.90,2.85,2.62,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","491","75","0","1990","A","","Briscoe County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.98,3.00,2.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","4911","76","0","1990","A","","Briscoe County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.98,3.00,2.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","49111","77","0","1990","A","","Briscoe County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.98,3.00,2.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","491110","78","0","1990","A","","Briscoe County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,157665,0,0,347,18019,"",3.98,3.00,2.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","92","74","0","1990","A","","Briscoe County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,208429,0,0,359,18665,"",8.39,1.82,1.92,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","924","75","0","1990","A","","Briscoe County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,196075,0,0,390,20284,"",21.18,24.16,27.05,0.00,0.00,1.15,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","9241","76","0","1990","A","","Briscoe County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,196075,0,0,390,20284,"",21.18,24.16,27.05,0.00,0.00,1.15,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","92412","77","0","1990","A","","Briscoe County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,196075,0,0,390,20284,"",21.50,27.88,32.72,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","1","924120","78","0","1990","A","","Briscoe County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,196075,0,0,390,20284,"",21.50,27.88,32.72,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","3","102","72","0","1990","A","","Briscoe County, Texas","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,80,1210331,0,0,293,15224,"",8.06,2.10,2.28,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","3","1028","73","0","1990","A","","Briscoe County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,24,260989,0,0,211,10989,"",12.45,2.13,1.63,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","3","92","74","0","1990","A","","Briscoe County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,24,260989,0,0,211,10989,"",12.45,2.13,1.63,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","5","10","71","0","1990","A","","Briscoe County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",70,272,3559913,0,0,252,13088,"",0.80,0.82,0.78,0.00,0.00,0.95,0.95,"",16,29.6,52,23.6,611256,20.7,-1569222,-100.0,-23887,-100.0,-5,-1.9,-314,-2.3
"48045","5","101","72","0","1990","A","","Briscoe County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",24,106,1299079,0,0,235,12246,"",1.37,1.18,0.89,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48045","5","1011","73","0","1990","A","","Briscoe County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",19,87,1100284,0,0,243,12623,"",10.15,13.74,12.87,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
