"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51097","0","10","70","0","1990","A","","King and Queen County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",82,713,11135038,0,0,300,15621,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-4.7,-2,-0.3,743134,7.2,-5062874,-100.0,-23749,-100.0,21,7.5,1087,7.5
"51097","1","10","71","0","1990","A","","King and Queen County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,23,439979,0,0,367,19060,"",6.41,1.09,1.04,0.00,0.00,0.95,0.95,"",0,0.0,-1,-4.2,44995,11.4,0,0.0,0,0.0,51,16.1,2603,15.8
"51097","1","102","72","0","1990","A","","King and Queen County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,23,439979,0,0,367,19060,"",6.45,1.14,1.09,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","1021","73","0","1990","A","","King and Queen County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",12.60,3.18,2.84,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","1028","73","0","1990","A","","King and Queen County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,74698,0,0,479,24899,"",3.10,0.27,0.34,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","48-49","74","0","1990","A","","King and Queen County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",12.99,3.50,3.00,0.00,0.00,0.86,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","491","75","0","1990","A","","King and Queen County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",13.25,3.69,3.20,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","4911","76","0","1990","A","","King and Queen County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",13.25,3.69,3.20,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","49111","77","0","1990","A","","King and Queen County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",13.25,3.69,3.20,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51097","1","491110","78","0","1990","A","","King and Queen County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,20,365281,0,0,350,18188,"",13.25,3.69,3.20,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
