"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55000","0","10","50","0","1990","A","","Wisconsin -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",114451,2214357,46766923097,0,0,406,21120,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6369,5.9,53911,2.5,3116359915,7.1,-16192071305,-100.0,-495414149,-100.0,18,4.6,916,4.5
"55000","1","10","51","0","1990","A","","Wisconsin -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",898,29255,832862646,0,0,547,28469,"",1.03,0.45,0.47,0.00,0.00,1.05,1.05,"",8,0.9,-114,-0.4,50454416,6.4,0,0.0,0,0.0,35,6.8,1829,6.9
"55000","1","102","52","0","1990","A","","Wisconsin -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",897,28118,801407387,0,0,548,28501,"",1.04,0.45,0.47,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1021","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",671,14363,435170892,0,0,583,30299,"",2.02,0.74,0.81,0.00,0.00,1.10,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1023","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",8,460,10315634,0,0,431,22437,"",0.23,0.62,0.49,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1024","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",5,134,2376757,0,0,342,17792,"",0.25,0.09,0.06,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1025","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",3,4597,119719830,0,0,501,26043,"",0.34,0.85,0.81,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1026","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",4,92,2104329,0,0,440,22873,"",0.24,0.07,0.12,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","1028","53","0","1990","A","","Wisconsin -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",206,8473,231719945,0,0,526,27347,"",0.46,0.25,0.25,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","48-49","54","0","1990","A","","Wisconsin -- Statewide","Federal Government","Transportation and warehousing","State, NAICS Sector -- by ownership sector","All establishment sizes",671,14363,435170892,0,0,583,30299,"",2.08,0.81,0.85,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","488","55","0","1990","A","","Wisconsin -- Statewide","Federal Government","Support activities for transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,168,6918448,0,0,794,41263,"",0.35,0.27,0.29,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","4881","56","0","1990","A","","Wisconsin -- Statewide","Federal Government","Support activities for air transportation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,168,6918448,0,0,794,41263,"",0.35,0.29,0.30,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","48811","57","0","1990","A","","Wisconsin -- Statewide","Federal Government","Airport operations","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,168,6918448,0,0,794,41263,"",0.35,0.29,0.30,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","488111","58","0","1990","A","","Wisconsin -- Statewide","Federal Government","Air traffic control","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,168,6918448,0,0,794,41263,"",0.36,0.30,0.30,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","491","55","0","1990","A","","Wisconsin -- Statewide","Federal Government","Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",669,14195,428252444,0,0,580,30169,"",2.12,0.84,0.89,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","4911","56","0","1990","A","","Wisconsin -- Statewide","Federal Government","Postal service","State, NAICS 4-digit -- by ownership sector","All establishment sizes",669,14195,428252444,0,0,580,30169,"",2.12,0.84,0.89,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","49111","57","0","1990","A","","Wisconsin -- Statewide","Federal Government","Postal service","State, NAICS 5-digit -- by ownership sector","All establishment sizes",669,14195,428252444,0,0,580,30169,"",2.12,0.84,0.89,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","491110","58","0","1990","A","","Wisconsin -- Statewide","Federal Government","Postal service","State, NAICS 6-digit -- by ownership sector","All establishment sizes",669,14195,428252444,0,0,580,30169,"",2.12,0.84,0.89,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","52","54","0","1990","A","","Wisconsin -- Statewide","Federal Government","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",8,460,10315634,0,0,431,22437,"",0.23,0.63,0.50,0.00,0.00,0.78,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","522","55","0","1990","A","","Wisconsin -- Statewide","Federal Government","Credit intermediation and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,377,7280646,0,0,372,19321,"",0.03,1.38,1.19,0.00,0.00,0.87,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55000","1","5222","56","0","1990","A","","Wisconsin -- Statewide","Federal Government","Nondepository credit intermediation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,377,7280646,0,0,372,19321,"",0.03,1.38,1.20,0.00,0.00,0.87,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
