"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55041","0","10","70","0","1990","A","","Forest County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",264,2076,24637965,0,0,228,11867,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",23,9.5,87,4.4,1718283,7.5,-10894655,-100.0,-469731,-100.0,7,3.2,344,3.0
"55041","1","10","71","0","1990","A","","Forest County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,30,670371,0,0,432,22471,"",2.99,0.49,0.72,0.00,0.00,1.48,1.47,"",0,0.0,0,0.0,46883,7.5,0,0.0,0,0.0,33,8.3,1689,8.1
"55041","1","102","72","0","1990","A","","Forest County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,30,670371,0,0,432,22471,"",3.00,0.51,0.75,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","1021","73","0","1990","A","","Forest County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.52,1.31,1.96,0.00,0.00,1.48,1.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","1028","73","0","1990","A","","Forest County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",0.96,0.19,0.23,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","48-49","74","0","1990","A","","Forest County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.73,1.44,2.07,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","491","75","0","1990","A","","Forest County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.86,1.52,2.21,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","4911","76","0","1990","A","","Forest County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.86,1.52,2.21,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","49111","77","0","1990","A","","Forest County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.86,1.52,2.21,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","491110","78","0","1990","A","","Forest County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,24,557685,0,0,441,22919,"",6.86,1.52,2.21,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","92","74","0","1990","A","","Forest County, Wisconsin","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",0.96,0.19,0.23,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","924","75","0","1990","A","","Forest County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",3.65,2.76,3.48,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","9241","76","0","1990","A","","Forest County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",3.65,2.76,3.48,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","92412","77","0","1990","A","","Forest County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",3.70,3.18,4.21,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","1","924120","78","0","1990","A","","Forest County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,112686,0,0,394,20488,"",3.70,3.18,4.21,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","3","1028","73","0","1990","A","","Forest County, Wisconsin","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,286,2164028,0,0,145,7564,"",7.29,4.84,3.02,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","3","92","74","0","1990","A","","Forest County, Wisconsin","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,286,2164028,0,0,145,7564,"",7.29,4.84,3.02,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","3","921","75","0","1990","A","","Forest County, Wisconsin","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,284,2149678,0,0,146,7583,"",10.70,6.95,4.75,0.00,0.00,0.69,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","3","9211","76","0","1990","A","","Forest County, Wisconsin","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,284,2149678,0,0,146,7583,"",10.70,6.95,4.75,0.00,0.00,0.69,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","10","71","0","1990","A","","Forest County, Wisconsin","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",236,1487,16397353,0,0,212,11031,"",0.93,0.86,0.81,0.00,0.00,0.94,0.94,"",23,10.8,66,4.6,1005000,6.5,-10881618,-100.0,-469540,-100.0,4,1.9,199,1.8
"55041","5","101","72","0","1990","A","","Forest County, Wisconsin","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",69,395,5087402,0,0,248,12893,"",1.35,0.84,0.78,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1011","73","0","1990","A","","Forest County, Wisconsin","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",36,122,1345592,0,0,212,11007,"",6.63,3.67,3.52,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1012","73","0","1990","A","","Forest County, Wisconsin","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",15,41,645198,0,0,302,15705,"",0.52,0.41,0.49,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1013","73","0","1990","A","","Forest County, Wisconsin","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",18,231,3096612,0,0,258,13391,"",1.07,0.68,0.65,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","102","72","0","1990","A","","Forest County, Wisconsin","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",168,1092,11309951,0,0,199,10358,"",0.82,0.86,0.82,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1021","73","0","1990","A","","Forest County, Wisconsin","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",73,431,5361085,0,0,239,12429,"",1.05,1.00,1.17,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1023","73","0","1990","A","","Forest County, Wisconsin","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",13,104,1417796,0,0,262,13644,"",0.57,0.80,0.76,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1024","73","0","1990","A","","Forest County, Wisconsin","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",13,69,713195,0,0,198,10311,"",0.38,0.35,0.26,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1025","73","0","1990","A","","Forest County, Wisconsin","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",9,212,1774298,0,0,161,8369,"",0.40,1.04,0.76,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","113","75","0","1990","A","","Forest County, Wisconsin","Private","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,122,1345592,0,0,212,11007,"",57.42,67.79,73.53,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","1133","76","0","1990","A","","Forest County, Wisconsin","Private","Logging","County, NAICS 4-digit -- by ownership sector","All establishment sizes",36,122,1345592,0,0,212,11007,"",60.11,73.86,80.27,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","11331","77","0","1990","A","","Forest County, Wisconsin","Private","Logging","County, NAICS 5-digit -- by ownership sector","All establishment sizes",36,122,1345592,0,0,212,11007,"",60.11,73.86,80.27,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","113310","78","0","1990","A","","Forest County, Wisconsin","Private","Logging","County, NAICS 6-digit -- by ownership sector","All establishment sizes",36,122,1345592,0,0,212,11007,"",60.11,73.86,80.27,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","23","74","0","1990","A","","Forest County, Wisconsin","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",15,41,645198,0,0,302,15705,"",0.52,0.41,0.49,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55041","5","31-33","74","0","1990","A","","Forest County, Wisconsin","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,231,3096612,0,0,258,13391,"",1.07,0.68,0.65,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
