"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56017","0","10","70","0","1990","A","","Hot Springs County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",225,1910,31994055,0,0,322,16751,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-17,-7.0,-27,-1.4,-112342,-0.3,-10499100,-100.0,-352976,-100.0,4,1.3,176,1.1
"56017","1","10","71","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,19,467766,0,0,482,25059,"",4.09,0.34,0.38,0.00,0.00,1.17,1.17,"",1,16.7,2,11.8,11723,2.6,0,0.0,0,0.0,-33,-6.4,-1767,-6.6
"56017","1","102","72","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,19,467766,0,0,482,25059,"",4.11,0.35,0.40,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","1021","73","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.06,0.71,0.88,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","1028","73","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,7,140751,0,0,382,19871,"",5.65,0.24,0.22,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","48-49","74","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.16,0.79,0.94,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","491","75","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.22,0.83,1.00,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","4911","76","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.22,0.83,1.00,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","49111","77","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.22,0.83,1.00,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","491110","78","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,327015,0,0,543,28232,"",3.22,0.83,1.00,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","92","74","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,7,140751,0,0,382,19871,"",5.65,0.24,0.22,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","924","75","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,36367,0,0,525,27275,"",4.28,0.50,0.86,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","9241","76","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,36367,0,0,525,27275,"",4.28,0.50,0.86,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","92412","77","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,36367,0,0,525,27275,"",4.35,0.58,1.05,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","924120","78","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,36367,0,0,525,27275,"",4.35,0.58,1.05,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","926","75","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,77983,0,0,316,16417,"",8.46,1.10,0.87,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","9261","76","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,77983,0,0,316,16417,"",8.46,1.10,0.87,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","92614","77","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,57943,0,0,557,28972,"",9.83,2.20,2.86,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","1","926140","78","0","1990","A","","Hot Springs County, Wyoming","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,57943,0,0,557,28972,"",9.83,2.20,2.86,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","2","10","71","0","1990","A","","Hot Springs County, Wyoming","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,100,1729728,0,0,332,17254,"",5.77,1.43,1.34,0.00,0.00,0.94,0.93,"N",12,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","2","102","72","0","1990","A","","Hot Springs County, Wyoming","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,89,1479976,0,0,320,16645,"",5.45,1.31,1.18,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","3","10","71","0","1990","A","","Hot Springs County, Wyoming","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,451,8722946,0,0,372,19327,"",3.91,2.43,2.80,0.00,0.00,1.16,1.15,"",1,7.1,0,0.0,-3681,0.0,-9869,-100.0,-263,-100.0,0,0.0,-22,-0.1
"56017","3","1025","73","0","1990","A","","Hot Springs County, Wyoming","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,325,6474839,0,0,384,19953,"",3.27,2.84,3.44,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56017","3","1028","73","0","1990","A","","Hot Springs County, Wyoming","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,113,2082811,0,0,353,18378,"",4.03,2.08,2.24,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
