"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72000","0","10","50","0","1990","A","","Puerto Rico -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",40915,860862,10052963610,0,0,225,11678,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","10","51","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",261,13580,333409816,0,0,472,24552,"",0.84,0.53,0.87,0.00,0.00,1.63,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","102","52","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",261,13580,333409816,0,0,472,24552,"",0.84,0.56,0.91,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1021","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",89,3732,95000254,0,0,489,25453,"",0.75,0.49,0.82,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1023","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",27,234,5923179,0,0,488,25367,"",2.16,0.82,1.32,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1024","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",4,143,3948814,0,0,532,27662,"",0.56,0.26,0.48,0.00,0.00,1.87,1.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1025","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",3,2476,61126640,0,0,475,24688,"",0.95,1.18,1.91,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1026","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",2,263,3012364,0,0,220,11443,"",0.34,0.51,0.80,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","1028","53","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",136,6732,164398565,0,0,470,24420,"",0.85,0.51,0.83,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72000","1","44-45","54","0","1990","A","","Puerto Rico -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",2,430,2098084,0,0,94,4883,"",1.02,0.79,0.63,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
