"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72005","0","10","70","0","1990","A","","Aguadilla Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",603,13249,134826642,0,0,196,10176,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","10","71","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,51,1629183,0,0,619,32208,"",1.09,0.13,0.32,0.00,0.00,2.46,2.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","102","72","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,51,1629183,0,0,619,32208,"",1.10,0.14,0.33,0.00,0.00,2.46,2.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","1021","73","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.14,0.32,0.82,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","1028","73","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,193174,0,0,594,30908,"",0.84,0.03,0.07,0.00,0.00,2.36,2.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","48-49","74","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.18,0.35,0.87,0.00,0.00,2.45,2.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","491","75","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.20,0.37,0.92,0.00,0.00,2.47,2.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","4911","76","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.20,0.37,0.92,0.00,0.00,2.47,2.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","49111","77","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.20,0.37,0.92,0.00,0.00,2.47,2.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72005","1","491110","78","0","1990","A","","Aguadilla Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,37,1273392,0,0,654,34033,"",1.20,0.37,0.92,0.00,0.00,2.47,2.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
