"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72009","0","10","70","0","1990","A","","Aibonito Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",263,4429,46510624,0,0,202,10502,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","10","71","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,19,609890,0,0,617,32099,"",1.50,0.14,0.34,0.00,0.00,2.38,2.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","102","72","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,19,609890,0,0,617,32099,"",1.51,0.15,0.36,0.00,0.00,2.38,2.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","1021","73","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.31,0.28,0.73,0.00,0.00,2.63,2.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","1028","73","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",1.93,0.12,0.23,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","48-49","74","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.35,0.31,0.78,0.00,0.00,2.52,2.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","491","75","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.38,0.33,0.83,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","4911","76","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.38,0.33,0.83,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","49111","77","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.38,0.33,0.83,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","491110","78","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,394295,0,0,695,36119,"",1.38,0.33,0.83,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","92","74","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",1.93,0.12,0.23,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","926","75","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",4.82,0.76,1.65,0.00,0.00,2.16,2.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","9261","76","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",4.82,0.76,1.65,0.00,0.00,2.16,2.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","92614","77","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",8.41,3.79,7.32,0.00,0.00,1.91,1.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","1","926140","78","0","1990","A","","Aibonito Municipio, Puerto Rico","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,215595,0,0,513,26672,"",8.41,3.79,7.32,0.00,0.00,1.91,1.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","2","1028","73","0","1990","A","","Aibonito Municipio, Puerto Rico","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,465,4332721,0,0,179,9314,"",5.76,7.07,5.36,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72009","2","92","74","0","1990","A","","Aibonito Municipio, Puerto Rico","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,465,4332721,0,0,179,9314,"",5.76,7.07,5.36,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
