"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1346","0","10","40","0","1990","A","","Bend-Redmond, OR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2695,31877,592369343,0,0,357,18583,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","1","10","41","0","1990","A","","Bend-Redmond, OR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,934,25003526,0,0,515,26780,"",0.97,0.99,1.11,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","2","10","41","0","1990","A","","Bend-Redmond, OR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",31,551,14122711,0,0,493,25631,"",1.24,0.47,0.59,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","3","10","41","0","1990","A","","Bend-Redmond, OR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27,3174,69386981,0,0,420,21862,"",0.59,1.02,1.20,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","10","41","0","1990","A","","Bend-Redmond, OR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2619,27219,483856125,0,0,342,17776,"",1.01,1.02,0.99,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","101","42","0","1990","A","","Bend-Redmond, OR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",690,7934,175327873,0,0,425,22100,"",1.33,1.09,1.12,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1011","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",64,396,7621165,0,0,370,19266,"",1.15,0.77,0.83,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1012","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",435,2166,49145982,0,0,436,22686,"",1.49,1.42,1.56,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1013","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",191,5372,118560726,0,0,424,22072,"",1.11,1.03,1.03,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","102","42","0","1990","A","","Bend-Redmond, OR MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1929,19285,308528252,0,0,308,15998,"",0.93,0.99,0.93,0.00,0.00,0.94,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1021","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",681,6474,113586823,0,0,337,17544,"",0.96,0.98,1.03,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1022","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",46,552,12303012,0,0,428,22281,"",1.22,0.68,0.60,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1023","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",230,1782,33244749,0,0,359,18657,"",0.99,0.89,0.74,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1024","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",280,1805,33315771,0,0,355,18456,"",0.80,0.59,0.51,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1025","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",188,2618,58706803,0,0,431,22421,"",0.82,0.84,1.05,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1026","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",274,5052,44871586,0,0,171,8883,"",1.26,1.83,2.02,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1027","43","0","1990","A","","Bend-Redmond, OR MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",227,1000,12444377,0,0,239,12443,"",0.76,0.98,0.99,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","11","44","0","1990","A","","Bend-Redmond, OR MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",60,363,6919676,0,0,367,19067,"",1.44,1.15,1.99,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","112","45","0","1990","A","","Bend-Redmond, OR MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",9,68,1066778,0,0,301,15669,"",1.32,1.51,1.86,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1121","46","0","1990","A","","Bend-Redmond, OR MSA","Private","Cattle ranching and farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",5,33,544436,0,0,313,16292,"",1.16,1.52,1.96,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","11211","47","0","1990","A","","Bend-Redmond, OR MSA","Private","Beef cattle ranching, farming, and feedlots","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",5,33,544436,0,0,313,16292,"",1.94,2.70,3.42,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","112111","48","0","1990","A","","Bend-Redmond, OR MSA","Private","Beef cattle ranching and farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",4,33,535755,0,0,313,16276,"",1.83,3.96,5.44,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","1129","46","0","1990","A","","Bend-Redmond, OR MSA","Private","Other animal production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,29,457342,0,0,302,15680,"",2.60,5.96,7.83,0.00,0.00,1.31,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1346","5","113","45","0","1990","A","","Bend-Redmond, OR MSA","Private","Forestry and logging","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",34,199,4306577,0,0,417,21668,"",5.31,7.20,9.79,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
