"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1630","0","10","40","0","1990","A","","Cedar Rapids, IA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6189,103072,2250491768,0,0,420,21834,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","1","10","41","0","1990","A","","Cedar Rapids, IA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,1287,40672507,0,0,608,31594,"",0.76,0.42,0.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","2","10","41","0","1990","A","","Cedar Rapids, IA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",46,1241,30300731,0,0,470,24415,"",0.80,0.33,0.33,0.00,0.00,1.02,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","3","10","41","0","1990","A","","Cedar Rapids, IA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",173,10657,205605431,0,0,371,19293,"",1.64,1.06,0.94,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","10","41","0","1990","A","","Cedar Rapids, IA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5935,89887,1973913099,0,0,422,21960,"",0.99,1.04,1.06,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","101","42","0","1990","A","","Cedar Rapids, IA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",925,28159,875005523,0,0,598,31074,"",0.77,1.20,1.48,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","1013","43","0","1990","A","","Cedar Rapids, IA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",335,22862,729218104,0,0,613,31897,"",0.85,1.35,1.66,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","102","42","0","1990","A","","Cedar Rapids, IA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5010,61728,1098907576,0,0,342,17802,"",1.05,0.98,0.87,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","1021","43","0","1990","A","","Cedar Rapids, IA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2019,22300,427117820,0,0,368,19154,"",1.24,1.05,1.02,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1630","5","1022","43","0","1990","A","","Cedar Rapids, IA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",117,3599,92400588,0,0,494,25675,"",1.35,1.37,1.19,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
