"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1814","0","10","40","0","1990","A","","Columbus, OH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",29496,703096,16045461605,0,0,439,22821,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","1","10","41","0","1990","A","","Columbus, OH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",165,16345,501329304,0,0,590,30673,"",0.73,0.79,0.82,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","2","10","41","0","1990","A","","Columbus, OH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",237,46789,1302534490,0,0,535,27838,"",0.87,1.82,2.02,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","3","10","41","0","1990","A","","Columbus, OH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",757,55897,1298455640,0,0,447,23230,"",1.51,0.82,0.83,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","10","41","0","1990","A","","Columbus, OH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28338,584066,12943142171,0,0,426,22160,"",0.99,0.99,0.98,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","101","42","0","1990","A","","Columbus, OH MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",5535,131604,3819741531,0,0,558,29025,"",0.97,0.82,0.90,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","1011","43","0","1990","A","","Columbus, OH MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",210,2355,45006565,0,0,368,19115,"",0.35,0.21,0.18,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","1012","43","0","1990","A","","Columbus, OH MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",3465,28872,738171269,0,0,492,25567,"",1.08,0.86,0.86,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","1013","43","0","1990","A","","Columbus, OH MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1860,100378,3036563697,0,0,582,30251,"",0.99,0.87,0.97,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","102","42","0","1990","A","","Columbus, OH MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",22804,452462,9123400640,0,0,388,20164,"",1.00,1.06,1.01,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","1021","43","0","1990","A","","Columbus, OH MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",7250,151730,3045879837,0,0,386,20074,"",0.94,1.04,1.02,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1814","5","1023","43","0","1990","A","","Columbus, OH MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2829,57063,1408575232,0,0,475,24685,"",1.11,1.30,1.16,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
