"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1914","0","10","40","0","1990","A","","Dalton, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2456,57515,1135282758,0,0,380,19739,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","1","10","41","0","1990","A","","Dalton, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,285,7175127,0,0,484,25154,"",0.91,0.17,0.17,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","2","10","41","0","1990","A","","Dalton, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,914,19164028,0,0,403,20979,"",1.06,0.43,0.42,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","3","10","41","0","1990","A","","Dalton, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,4040,76217236,0,0,363,18864,"",0.38,0.72,0.69,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","10","41","0","1990","A","","Dalton, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2399,52276,1032726367,0,0,380,19755,"",1.01,1.09,1.10,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","101","42","0","1990","A","","Dalton, GA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",689,30008,617583089,0,0,396,20581,"",1.45,2.29,2.07,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1011","43","0","1990","A","","Dalton, GA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",29,400,8581537,0,0,413,21476,"",0.57,0.43,0.49,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1012","43","0","1990","A","","Dalton, GA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",189,1283,23632671,0,0,354,18422,"",0.71,0.47,0.39,0.00,0.00,0.83,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1013","43","0","1990","A","","Dalton, GA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",472,28326,585368881,0,0,397,20666,"",3.02,3.01,2.65,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","102","42","0","1990","A","","Dalton, GA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1709,22268,415143278,0,0,359,18643,"",0.90,0.64,0.65,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1021","43","0","1990","A","","Dalton, GA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",846,9494,184397061,0,0,374,19423,"",1.31,0.80,0.87,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1023","43","0","1990","A","","Dalton, GA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",166,1092,24030121,0,0,423,22014,"",0.78,0.30,0.28,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1024","43","0","1990","A","","Dalton, GA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",214,4344,85055885,0,0,377,19579,"",0.67,0.79,0.68,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1025","43","0","1990","A","","Dalton, GA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",131,2649,62215360,0,0,452,23488,"",0.62,0.47,0.58,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","1026","43","0","1990","A","","Dalton, GA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",158,2414,20534605,0,0,164,8506,"",0.80,0.48,0.48,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1914","5","11","44","0","1990","A","","Dalton, GA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",21,267,5076366,0,0,366,19036,"",0.55,0.47,0.76,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
