"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2202","0","10","40","0","1990","A","","Fargo, ND-MN MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4804,72691,1389579498,0,0,368,19116,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","1","10","41","0","1990","A","","Fargo, ND-MN MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",51,2326,67976113,0,0,562,29222,"",1.39,1.08,1.29,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","2","10","41","0","1990","A","","Fargo, ND-MN MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",45,3473,83906329,0,0,465,24157,"",1.01,1.31,1.50,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","3","10","41","0","1990","A","","Fargo, ND-MN MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",98,5760,110719969,0,0,370,19223,"",1.20,0.81,0.82,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","10","41","0","1990","A","","Fargo, ND-MN MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4611,61132,1126977087,0,0,355,18435,"",0.99,1.01,0.98,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","101","42","0","1990","A","","Fargo, ND-MN MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",755,9678,210093043,0,0,417,21709,"",0.81,0.58,0.57,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1011","43","0","1990","A","","Fargo, ND-MN MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",59,394,7218873,0,0,352,18330,"",0.60,0.34,0.34,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1012","43","0","1990","A","","Fargo, ND-MN MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",506,3620,82237097,0,0,437,22715,"",0.97,1.04,1.11,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1013","43","0","1990","A","","Fargo, ND-MN MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",191,5664,120637073,0,0,410,21301,"",0.62,0.48,0.45,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","102","42","0","1990","A","","Fargo, ND-MN MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3856,51454,916884044,0,0,343,17819,"",1.04,1.16,1.18,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1021","43","0","1990","A","","Fargo, ND-MN MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1669,18770,343616258,0,0,352,18307,"",1.32,1.25,1.33,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1022","43","0","1990","A","","Fargo, ND-MN MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",80,2334,53734548,0,0,443,23021,"",1.19,1.26,1.12,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1023","43","0","1990","A","","Fargo, ND-MN MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",512,4840,106868701,0,0,425,22079,"",1.23,1.07,1.02,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1024","43","0","1990","A","","Fargo, ND-MN MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",498,4307,88384473,0,0,395,20522,"",0.80,0.62,0.57,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1025","43","0","1990","A","","Fargo, ND-MN MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",307,10222,235747179,0,0,444,23063,"",0.75,1.43,1.79,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1026","43","0","1990","A","","Fargo, ND-MN MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",369,8048,54014700,0,0,129,6712,"",0.95,1.28,1.04,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","1027","43","0","1990","A","","Fargo, ND-MN MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",421,2931,34464361,0,0,226,11757,"",0.79,1.27,1.17,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2202","5","111","45","0","1990","A","","Fargo, ND-MN MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",32,234,3530868,0,0,290,15068,"",0.88,0.64,0.92,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
