"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2750","0","10","40","0","1990","A","","Janesville-Beloit, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2719,57403,1254980522,0,0,420,21863,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","1","10","41","0","1990","A","","Janesville-Beloit, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",14,326,9762292,0,0,577,29992,"",0.68,0.19,0.20,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","2","10","41","0","1990","A","","Janesville-Beloit, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6,90,2704815,0,0,581,30193,"",0.24,0.04,0.05,0.00,0.00,1.26,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","3","10","41","0","1990","A","","Janesville-Beloit, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",46,6332,143233299,0,0,435,22621,"",0.99,1.13,1.17,0.00,0.00,1.04,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","10","41","0","1990","A","","Janesville-Beloit, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2653,50657,1099280116,0,0,417,21701,"",1.01,1.05,1.06,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","101","42","0","1990","A","","Janesville-Beloit, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",554,19387,588659152,0,0,584,30364,"",1.06,1.48,1.78,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","1011","43","0","1990","A","","Janesville-Beloit, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",28,296,5318565,0,0,346,17968,"",0.50,0.32,0.27,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","1012","43","0","1990","A","","Janesville-Beloit, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",302,1822,45653786,0,0,482,25055,"",1.02,0.67,0.68,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","1013","43","0","1990","A","","Janesville-Beloit, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",225,17269,537686801,0,0,599,31136,"",1.30,1.84,2.20,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2750","5","102","42","0","1990","A","","Janesville-Beloit, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2099,31270,510620964,0,0,314,16330,"",1.00,0.89,0.73,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
