"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2842","0","10","40","0","1990","A","","Kennewick-Richland, WA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4027,67628,1505678216,0,0,428,22264,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","1","10","41","0","1990","A","","Kennewick-Richland, WA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",49,1080,38719590,0,0,689,35849,"",1.60,0.54,0.68,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","2","10","41","0","1990","A","","Kennewick-Richland, WA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,1325,30207645,0,0,438,22791,"",1.34,0.54,0.50,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","3","10","41","0","1990","A","","Kennewick-Richland, WA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",58,8489,227399248,0,0,515,26789,"",0.85,1.29,1.55,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","10","41","0","1990","A","","Kennewick-Richland, WA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3871,56734,1209351733,0,0,410,21316,"",0.99,1.00,0.97,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","101","42","0","1990","A","","Kennewick-Richland, WA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1327,16131,273379643,0,0,326,16947,"",1.71,1.05,0.69,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1011","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",801,8142,71853973,0,0,170,8825,"",9.67,7.51,3.08,0.00,0.00,0.41,0.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1012","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",379,2634,62355182,0,0,455,23673,"",0.87,0.82,0.78,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1013","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",147,5355,139170488,0,0,500,25988,"",0.57,0.48,0.47,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","102","42","0","1990","A","","Kennewick-Richland, WA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2544,40602,935972090,0,0,443,23052,"",0.82,0.99,1.11,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1021","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",829,10611,175982340,0,0,319,16585,"",0.78,0.76,0.63,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1022","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",37,1882,51443260,0,0,526,27336,"",0.66,1.09,0.99,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1023","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",308,2089,36784088,0,0,339,17607,"",0.88,0.49,0.32,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2842","5","1024","43","0","1990","A","","Kennewick-Richland, WA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",397,15868,552898488,0,0,670,34844,"",0.76,2.44,3.31,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
