"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3046","0","10","40","0","1990","A","","Lexington-Fayette, KY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",9192,183086,3975524482,0,0,418,21714,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","1","10","41","0","1990","A","","Lexington-Fayette, KY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",80,6232,181106606,0,0,559,29062,"",1.14,1.15,1.20,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","2","10","41","0","1990","A","","Lexington-Fayette, KY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",141,13995,342987732,0,0,471,24508,"",1.66,2.09,2.14,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","3","10","41","0","1990","A","","Lexington-Fayette, KY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",82,11954,260251187,0,0,419,21771,"",0.52,0.67,0.67,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","10","41","0","1990","A","","Lexington-Fayette, KY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8888,150906,3191178957,0,0,407,21147,"",1.00,0.99,0.97,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","101","42","0","1990","A","","Lexington-Fayette, KY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1710,39317,952124923,0,0,466,24217,"",0.96,0.94,0.91,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1013","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",444,26296,697224384,0,0,510,26515,"",0.76,0.88,0.90,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","102","42","0","1990","A","","Lexington-Fayette, KY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",7178,111589,2239054034,0,0,386,20065,"",1.01,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1021","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2290,34213,573696360,0,0,322,16768,"",0.95,0.90,0.77,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1022","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",109,3951,101312365,0,0,493,25642,"",0.85,0.84,0.74,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1023","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",806,10058,211184619,0,0,404,20997,"",1.01,0.88,0.70,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1024","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1225,22298,738104308,0,0,637,33102,"",1.02,1.27,1.68,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1025","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",837,16212,364070904,0,0,432,22457,"",1.06,0.90,0.97,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1026","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",757,18307,155307338,0,0,163,8484,"",1.02,1.15,1.04,0.00,0.00,0.90,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1027","43","0","1990","A","","Lexington-Fayette, KY MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1152,6548,95359984,0,0,280,14564,"",1.13,1.12,1.13,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","11","44","0","1990","A","","Lexington-Fayette, KY MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",190,3412,57241004,0,0,323,16779,"",1.33,1.88,2.46,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3046","5","1114","46","0","1990","A","","Lexington-Fayette, KY MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,80,864690,0,0,208,10809,"",0.34,0.32,0.25,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
