"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3170","0","10","40","0","1990","A","","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",10191,163351,4095733073,0,0,482,25073,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","1","10","41","0","1990","A","","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,3614,126958212,0,0,676,35126,"",0.76,0.75,0.82,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","2","10","41","0","1990","A","","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",55,861,18886411,0,0,422,21938,"",0.58,0.14,0.11,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","3","10","41","0","1990","A","","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,11311,281408973,0,0,478,24880,"",0.43,0.71,0.71,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","10","41","0","1990","A","","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10002,147565,3668479477,0,0,478,24860,"",1.02,1.08,1.09,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","101","42","0","1990","A","","Manchester-Nashua, NH MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2168,47118,1552011115,0,0,633,32939,"",1.10,1.27,1.44,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","1011","43","0","1990","A","","Manchester-Nashua, NH MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",39,214,3950320,0,0,356,18488,"",0.19,0.08,0.06,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","1012","43","0","1990","A","","Manchester-Nashua, NH MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1362,5982,161765808,0,0,520,27044,"",1.23,0.77,0.74,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","1013","43","0","1990","A","","Manchester-Nashua, NH MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",768,40922,1386294987,0,0,651,33876,"",1.18,1.53,1.74,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3170","5","102","42","0","1990","A","","Manchester-Nashua, NH MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",7834,100447,2116468362,0,0,405,21070,"",0.99,1.01,0.92,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
