"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3490","0","10","40","0","1990","A","","Napa, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3591,45481,974010935,0,0,412,21416,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","1","10","41","0","1990","A","","Napa, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,316,10055846,0,0,612,31814,"",0.62,0.23,0.27,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","2","10","41","0","1990","A","","Napa, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",154,3171,98002424,0,0,594,30906,"",4.64,1.91,2.50,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","3","10","41","0","1990","A","","Napa, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",30,4543,109250886,0,0,462,24049,"",0.49,1.03,1.15,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","10","41","0","1990","A","","Napa, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3390,37451,756701779,0,0,389,20205,"",0.98,0.98,0.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","101","42","0","1990","A","","Napa, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1021,13107,295340632,0,0,433,22533,"",1.47,1.27,1.15,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","1011","43","0","1990","A","","Napa, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",353,3839,56247565,0,0,282,14652,"",4.78,5.26,3.72,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","1012","43","0","1990","A","","Napa, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",449,3159,89323331,0,0,544,28277,"",1.15,1.46,1.72,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","1013","43","0","1990","A","","Napa, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",220,6109,149769736,0,0,471,24516,"",0.96,0.82,0.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3490","5","102","42","0","1990","A","","Napa, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2368,24344,461361147,0,0,364,18952,"",0.85,0.88,0.84,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
