"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3930","0","10","40","0","1990","A","","Providence-Warwick, RI-MA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",39392,619505,13641821819,0,0,423,22021,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","1","10","41","0","1990","A","","Providence-Warwick, RI-MA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",130,11838,371003576,0,0,603,31341,"",0.43,0.65,0.72,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","2","10","41","0","1990","A","","Providence-Warwick, RI-MA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,23338,659874707,0,0,544,28274,"",0.19,1.03,1.20,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","3","10","41","0","1990","A","","Providence-Warwick, RI-MA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",658,45659,1212347282,0,0,511,26552,"",0.98,0.76,0.91,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","10","41","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",38534,538671,11398596254,0,0,407,21161,"",1.01,1.04,1.01,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","101","42","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",9608,170074,4230132179,0,0,478,24872,"",1.26,1.21,1.18,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1011","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",498,3230,87893064,0,0,523,27212,"",0.61,0.33,0.42,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1012","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",4861,21515,597479619,0,0,534,27771,"",1.14,0.73,0.82,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1013","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",4249,145329,3544759496,0,0,469,24391,"",1.69,1.43,1.34,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","102","42","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",28926,368597,7168464075,0,0,374,19448,"",0.95,0.98,0.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1021","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",9770,116273,2198159059,0,0,364,18905,"",0.94,0.91,0.86,0.00,0.00,0.96,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1022","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",379,13055,359749436,0,0,530,27558,"",0.69,0.82,0.77,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1023","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2817,34283,882932937,0,0,495,25754,"",0.83,0.89,0.86,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1024","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4815,43588,1034375075,0,0,456,23731,"",0.94,0.73,0.68,0.00,0.00,0.94,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1025","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",3345,87613,1860683043,0,0,408,21238,"",0.99,1.44,1.44,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1026","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",3765,51148,473265367,0,0,178,9253,"",1.18,0.95,0.93,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1027","43","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",3930,21091,327659889,0,0,299,15535,"",0.90,1.07,1.13,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","11","44","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",479,3016,81974417,0,0,523,27184,"",0.78,0.49,1.03,0.00,0.00,2.09,2.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","111","45","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",96,732,14065567,0,0,369,19204,"",0.32,0.23,0.38,0.00,0.00,1.61,1.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1112","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Vegetable and melon farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",23,119,1426181,0,0,231,12002,"",0.78,0.21,0.22,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","11121","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Vegetable and melon farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",23,119,1426181,0,0,231,12002,"",0.78,0.21,0.22,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1113","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Fruit and tree nut farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",16,53,1306098,0,0,475,24721,"",0.15,0.06,0.14,0.00,0.00,2.51,2.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","11133","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Noncitrus fruit and tree nut farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",16,53,1306098,0,0,475,24721,"",0.16,0.06,0.16,0.00,0.00,2.60,2.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","111421","48","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",46,446,9139966,0,0,394,20474,"",1.57,0.97,1.43,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","112","45","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",49,160,1785713,0,0,215,11161,"",0.49,0.18,0.14,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1123","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Poultry and egg production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",10,74,774037,0,0,202,10495,"",0.98,0.27,0.18,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1129","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Other animal production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",11,22,207916,0,0,185,9633,"",0.65,0.23,0.15,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","114112","48","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Shellfish fishing","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",124,994,31276248,0,0,605,31454,"",16.25,35.72,45.35,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","1152","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Support activities for animal production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",17,38,484368,0,0,247,12859,"",0.85,0.32,0.27,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","11521","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Support activities for animal production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",17,38,484368,0,0,247,12859,"",0.85,0.32,0.27,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","115210","48","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Support activities for animal production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",17,38,484368,0,0,247,12859,"",0.85,0.32,0.27,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","21","44","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Mining, quarrying, and oil and gas extraction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",20,214,5918647,0,0,531,27603,"",0.10,0.06,0.04,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","21232","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Sand, gravel, clay, and refractory mining","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",14,182,5207278,0,0,549,28546,"",0.73,0.66,0.70,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","22","44","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Utilities","MSA, NAICS Sector -- by ownership sector","All establishment sizes",28,2767,103176658,0,0,717,37295,"",0.37,0.65,0.66,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","221","45","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Utilities","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",28,2767,103176658,0,0,717,37295,"",0.37,0.65,0.66,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","2211","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Power generation and supply","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",14,2324,87665158,0,0,726,37727,"",0.43,0.71,0.71,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","23","44","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Construction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",4861,21515,597479619,0,0,534,27771,"",1.14,0.73,0.82,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","236","45","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Construction of buildings","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",1631,6207,182100784,0,0,564,29337,"",1.24,0.82,0.95,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","2361","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Residential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1398,3634,88069699,0,0,466,24234,"",1.42,1.06,1.19,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","23611","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Residential building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1398,3634,88069699,0,0,466,24234,"",1.42,1.06,1.19,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","236115","48","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","New single-family general contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",694,1693,37241215,0,0,423,22003,"",1.27,0.87,0.89,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","236118","48","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Residential remodelers","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",668,1823,47981723,0,0,506,26323,"",1.65,1.47,1.91,0.00,0.00,1.30,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","2362","46","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Nonresidential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",233,2573,94031085,0,0,703,36544,"",0.70,0.62,0.80,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3930","5","23621","47","0","1990","A","","Providence-Warwick, RI-MA MSA","Private","Industrial building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",43,548,19681164,0,0,691,35920,"",0.84,0.47,0.57,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
