"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4154","0","10","40","0","1990","A","","Salisbury, MD-DE MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2424,40014,805759772,0,0,387,20137,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","1","10","41","0","1990","A","","Salisbury, MD-DE MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",14,357,10882661,0,0,586,30498,"",0.76,0.30,0.36,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","2","10","41","0","1990","A","","Salisbury, MD-DE MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",21,2814,76692245,0,0,524,27256,"",0.94,1.92,2.36,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","3","10","41","0","1990","A","","Salisbury, MD-DE MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,3386,75063473,0,0,426,22170,"",0.58,0.87,0.96,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","10","41","0","1990","A","","Salisbury, MD-DE MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2366,33458,643121393,0,0,370,19222,"",1.01,1.00,0.97,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","101","42","0","1990","A","","Salisbury, MD-DE MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",537,9432,193572546,0,0,395,20524,"",1.15,1.04,0.91,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","1011","43","0","1990","A","","Salisbury, MD-DE MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",45,935,13345040,0,0,275,14279,"",0.90,1.46,1.07,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","1012","43","0","1990","A","","Salisbury, MD-DE MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",377,2641,53162873,0,0,387,20130,"",1.43,1.38,1.24,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","1013","43","0","1990","A","","Salisbury, MD-DE MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",115,5856,127064633,0,0,417,21698,"",0.74,0.89,0.81,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4154","5","102","42","0","1990","A","","Salisbury, MD-DE MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1829,24026,449548847,0,0,360,18711,"",0.98,0.99,0.99,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
