"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4210","0","10","40","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6622,96730,2019689113,0,0,402,20880,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","1","10","41","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27,567,17737337,0,0,602,31306,"",0.54,0.20,0.23,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","2","10","41","0","1990","A","","Santa Cruz-Watsonville, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,4776,94186323,0,0,379,19721,"",0.52,1.35,1.16,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","3","10","41","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",61,9911,251250523,0,0,488,25352,"",0.54,1.05,1.28,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","10","41","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6502,81477,1656514930,0,0,391,20331,"",1.02,1.01,0.99,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","101","42","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1849,26950,546757715,0,0,390,20288,"",1.45,1.22,1.03,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","1011","43","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",575,10958,144279830,0,0,253,13166,"",4.22,7.07,4.61,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","1012","43","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",921,4958,127711986,0,0,495,25758,"",1.28,1.07,1.19,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","1013","43","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",353,11033,274765899,0,0,479,24903,"",0.84,0.70,0.70,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","102","42","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",4653,54527,1109757215,0,0,391,20352,"",0.91,0.93,0.98,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","1021","43","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1305,16282,315969309,0,0,373,19406,"",0.75,0.81,0.84,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4210","5","1022","43","0","1990","A","","Santa Cruz-Watsonville, CA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",86,4184,155929812,0,0,717,37266,"",0.93,1.69,2.24,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
