"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4310","0","10","40","0","1990","A","","Sheboygan, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2071,49885,1022126622,0,0,394,20490,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","1","10","41","0","1990","A","","Sheboygan, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15,221,6569331,0,0,573,29782,"",0.95,0.15,0.17,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","2","10","41","0","1990","A","","Sheboygan, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7,64,1184642,0,0,357,18558,"",0.37,0.04,0.03,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","3","10","41","0","1990","A","","Sheboygan, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",71,4514,99326224,0,0,423,22002,"",2.01,0.93,1.00,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","10","41","0","1990","A","","Sheboygan, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1978,45086,915046425,0,0,390,20296,"",0.99,1.08,1.09,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","101","42","0","1990","A","","Sheboygan, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",473,22199,551418972,0,0,478,24840,"",1.18,1.96,2.05,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1011","43","0","1990","A","","Sheboygan, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",18,102,1584826,0,0,298,15487,"",0.42,0.13,0.10,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1012","43","0","1990","A","","Sheboygan, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",230,1743,43140329,0,0,476,24757,"",1.02,0.73,0.79,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1013","43","0","1990","A","","Sheboygan, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",226,20354,506693817,0,0,479,24894,"",1.71,2.49,2.55,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","102","42","0","1990","A","","Sheboygan, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1505,22887,363627453,0,0,306,15888,"",0.94,0.75,0.63,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1021","43","0","1990","A","","Sheboygan, WI MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",534,8839,143452770,0,0,312,16230,"",0.98,0.86,0.75,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1022","43","0","1990","A","","Sheboygan, WI MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",21,696,15390330,0,0,425,22099,"",0.72,0.55,0.44,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1023","43","0","1990","A","","Sheboygan, WI MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",180,2132,44498926,0,0,401,20872,"",1.01,0.68,0.58,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1024","43","0","1990","A","","Sheboygan, WI MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",179,2562,60817562,0,0,456,23738,"",0.66,0.53,0.54,0.00,0.00,1.00,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1025","43","0","1990","A","","Sheboygan, WI MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",150,4149,69420328,0,0,322,16732,"",0.85,0.85,0.72,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1026","43","0","1990","A","","Sheboygan, WI MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",227,3280,18543537,0,0,109,5653,"",1.36,0.76,0.48,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1027","43","0","1990","A","","Sheboygan, WI MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",214,1228,11478660,0,0,180,9349,"",0.93,0.77,0.53,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","111","45","0","1990","A","","Sheboygan, WI MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,26750,0,0,76,3963,"",0.19,0.03,0.01,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","112","45","0","1990","A","","Sheboygan, WI MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",8,65,939318,0,0,280,14563,"",1.53,0.92,0.95,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1121","46","0","1990","A","","Sheboygan, WI MSA","Private","Cattle ranching and farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,28,608179,0,0,414,21528,"",0.91,0.83,1.27,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","1129","46","0","1990","A","","Sheboygan, WI MSA","Private","Other animal production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,331139,0,0,176,9135,"",5.63,4.73,3.28,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","11293","47","0","1990","A","","Sheboygan, WI MSA","Private","Fur-bearing animal and rabbit production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",4,34,313239,0,0,175,9123,"",100.14,80.99,71.75,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","112930","48","0","1990","A","","Sheboygan, WI MSA","Private","Fur-bearing animal and rabbit production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",4,34,313239,0,0,175,9123,"",100.14,80.99,71.75,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23","44","0","1990","A","","Sheboygan, WI MSA","Private","Construction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",230,1743,43140329,0,0,476,24757,"",1.02,0.73,0.79,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","236","45","0","1990","A","","Sheboygan, WI MSA","Private","Construction of buildings","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",53,445,11194230,0,0,484,25165,"",0.77,0.73,0.78,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","2361","46","0","1990","A","","Sheboygan, WI MSA","Private","Residential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",46,204,4119343,0,0,388,20168,"",0.89,0.74,0.74,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23611","47","0","1990","A","","Sheboygan, WI MSA","Private","Residential building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",46,204,4119343,0,0,388,20168,"",0.89,0.74,0.74,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","236115","48","0","1990","A","","Sheboygan, WI MSA","Private","New single-family general contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",34,140,2950839,0,0,404,21027,"",1.18,0.89,0.94,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","236118","48","0","1990","A","","Sheboygan, WI MSA","Private","Residential remodelers","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",12,64,1168504,0,0,352,18282,"",0.56,0.64,0.62,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","2362","46","0","1990","A","","Sheboygan, WI MSA","Private","Nonresidential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",7,241,7074887,0,0,566,29407,"",0.40,0.72,0.81,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","237","45","0","1990","A","","Sheboygan, WI MSA","Private","Heavy and civil engineering construction","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",12,172,5276085,0,0,592,30764,"",0.60,0.45,0.54,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","2371","46","0","1990","A","","Sheboygan, WI MSA","Private","Utility system construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",8,132,3903461,0,0,569,29609,"",1.06,0.87,1.06,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","238","45","0","1990","A","","Sheboygan, WI MSA","Private","Specialty trade contractors","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",165,1126,26670014,0,0,455,23680,"",1.21,0.81,0.88,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","2381","46","0","1990","A","","Sheboygan, WI MSA","Private","Building foundation and exterior contractors","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",37,240,4635960,0,0,372,19343,"",1.22,0.80,0.80,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23814","47","0","1990","A","","Sheboygan, WI MSA","Private","Masonry contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",13,40,575233,0,0,278,14441,"",1.37,0.52,0.40,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23816","47","0","1990","A","","Sheboygan, WI MSA","Private","Roofing contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",7,39,688676,0,0,340,17658,"",1.17,0.56,0.56,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23817","47","0","1990","A","","Sheboygan, WI MSA","Private","Siding contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",8,31,597789,0,0,373,19388,"",4.12,2.62,3.07,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","238171","48","0","1990","A","","Sheboygan, WI MSA","Private","Residential siding contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",8,31,597789,0,0,373,19388,"",4.68,3.14,3.78,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","2382","46","0","1990","A","","Sheboygan, WI MSA","Private","Building equipment contractors","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",60,521,14526716,0,0,536,27869,"",1.20,0.88,1.00,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","238212","48","0","1990","A","","Sheboygan, WI MSA","Private","Nonresidential electrical contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",15,167,5256524,0,0,606,31508,"",1.33,0.92,1.10,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","23822","47","0","1990","A","","Sheboygan, WI MSA","Private","Plumbing and hvac contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",27,289,7852045,0,0,523,27185,"",1.12,1.06,1.21,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4310","5","238221","48","0","1990","A","","Sheboygan, WI MSA","Private","Residential plumbing and hvac contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",20,130,2777958,0,0,413,21451,"",1.20,0.94,0.97,0.00,0.00,1.04,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
