"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4390","0","10","40","0","1990","A","","Spartanburg, SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4545,104248,2130895528,0,0,393,20441,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","1","10","41","0","1990","A","","Spartanburg, SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15,557,15094464,0,0,521,27091,"",0.43,0.18,0.19,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","2","10","41","0","1990","A","","Spartanburg, SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22,2823,58443913,0,0,398,20705,"",0.52,0.74,0.68,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","3","10","41","0","1990","A","","Spartanburg, SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,9598,209518277,0,0,420,21830,"",0.54,0.95,1.01,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","10","41","0","1990","A","","Spartanburg, SC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4466,91271,1847838874,0,0,389,20246,"",1.02,1.05,1.05,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","101","42","0","1990","A","","Spartanburg, SC MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1007,42521,1000987521,0,0,453,23541,"",1.15,1.79,1.78,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","1011","43","0","1990","A","","Spartanburg, SC MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",31,439,5477692,0,0,240,12466,"",0.33,0.26,0.17,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","1012","43","0","1990","A","","Spartanburg, SC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",545,5583,123670119,0,0,426,22152,"",1.10,1.12,1.09,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","1013","43","0","1990","A","","Spartanburg, SC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",431,36499,871839710,0,0,459,23887,"",1.49,2.14,2.10,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4390","5","102","42","0","1990","A","","Spartanburg, SC MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3459,48750,846851353,0,0,334,17371,"",0.98,0.77,0.71,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
