"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01123","0","10","70","0","1990","A","","Tallapoosa County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",704,17015,290928345,0,0,329,17098,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-11,-1.5,112,0.7,10531909,3.8,-124766024,-100.0,-1193864,-100.0,10,3.1,510,3.1
"01123","1","10","71","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,104,2395130,0,0,441,22938,"",1.68,0.21,0.22,0.00,0.00,1.04,1.04,"",0,0.0,10,10.6,226375,10.4,0,0.0,0,0.0,-2,-0.5,-133,-0.6
"01123","1","102","72","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,104,2395130,0,0,441,22938,"",1.69,0.22,0.23,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","1021","73","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.47,0.42,0.48,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","1028","73","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,36,659729,0,0,355,18454,"",1.81,0.14,0.11,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","48-49","74","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.51,0.46,0.51,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","491","75","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.54,0.49,0.54,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","4911","76","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.54,0.49,0.54,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","49111","77","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.54,0.49,0.54,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","1","491110","78","0","1990","A","","Tallapoosa County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,63,1621102,0,0,494,25664,"",1.54,0.49,0.54,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
