"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06031","0","10","70","0","1990","A","","Kings County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1981,30460,638655875,0,0,403,20967,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-26,-1.3,383,1.3,53428200,9.1,-160368778,-100.0,-4605233,-100.0,29,7.8,1510,7.8
"06031","1","10","71","0","1990","A","","Kings County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1677,29954927,0,0,344,17868,"",1.39,1.86,1.23,0.00,0.00,0.66,0.66,"",2,10.5,162,10.7,5222058,21.1,0,0.0,0,0.0,31,9.9,1543,9.5
"06031","1","102","72","0","1990","A","","Kings County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1677,29954927,0,0,344,17868,"",1.40,1.94,1.29,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","1021","73","0","1990","A","","Kings County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,349,6796275,0,0,374,19464,"",1.56,1.30,0.92,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","1023","73","0","1990","A","","Kings County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,121323,0,0,424,22059,"",1.65,0.59,0.43,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","1025","73","0","1990","A","","Kings County, California","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,266,2590585,0,0,187,9727,"",13.06,3.59,1.28,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","1026","73","0","1990","A","","Kings County, California","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,15,111285,0,0,140,7258,"",7.00,0.82,0.46,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","1028","73","0","1990","A","","Kings County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,1040,20335459,0,0,376,19550,"",0.90,2.23,1.61,0.00,0.00,0.73,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","44-45","74","0","1990","A","","Kings County, California","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,228,3073728,0,0,259,13466,"",10.49,11.89,14.46,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","452","75","0","1990","A","","Kings County, California","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,228,3073728,0,0,259,13466,"",12.55,12.74,16.60,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","48-49","74","0","1990","A","","Kings County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,121,3722547,0,0,592,30786,"",1.43,0.50,0.53,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","491","75","0","1990","A","","Kings County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,121,3722547,0,0,592,30786,"",1.46,0.52,0.57,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","4911","76","0","1990","A","","Kings County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,121,3722547,0,0,592,30786,"",1.46,0.52,0.57,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","49111","77","0","1990","A","","Kings County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,121,3722547,0,0,592,30786,"",1.46,0.52,0.57,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","491110","78","0","1990","A","","Kings County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,121,3722547,0,0,592,30786,"",1.46,0.52,0.57,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","52","74","0","1990","A","","Kings County, California","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,121323,0,0,424,22059,"",1.66,0.60,0.43,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","522","75","0","1990","A","","Kings County, California","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,121323,0,0,424,22059,"",1.93,1.60,1.46,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","5222","76","0","1990","A","","Kings County, California","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,121323,0,0,424,22059,"",1.93,1.60,1.46,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","52229","77","0","1990","A","","Kings County, California","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,121323,0,0,424,22059,"",1.93,1.60,1.46,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","61","74","0","1990","A","","Kings County, California","Federal Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,220,1733464,0,0,151,7870,"",78.52,63.78,22.60,0.00,0.00,0.35,0.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","611","75","0","1990","A","","Kings County, California","Federal Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,220,1733464,0,0,151,7870,"",78.52,63.78,22.60,0.00,0.00,0.35,0.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","6116","76","0","1990","A","","Kings County, California","Federal Government","Other schools and instruction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,220,1733464,0,0,151,7870,"",510.36,497.71,287.05,0.00,0.00,0.57,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","61162","77","0","1990","A","","Kings County, California","Federal Government","Sports and recreation instruction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,220,1733464,0,0,151,7870,"",765.54,1376.14,1393.35,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","611620","78","0","1990","A","","Kings County, California","Federal Government","Sports and recreation instruction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,220,1733464,0,0,151,7870,"",765.54,1376.14,1393.35,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","72","74","0","1990","A","","Kings County, California","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,80510,0,0,128,6663,"",9.17,1.77,1.30,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","721","75","0","1990","A","","Kings County, California","Federal Government","Accommodation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,80510,0,0,128,6663,"",25.10,6.50,4.86,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","7213","76","0","1990","A","","Kings County, California","Federal Government","Rooming and boarding houses","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,80510,0,0,128,6663,"",41.38,16.69,13.82,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","72131","77","0","1990","A","","Kings County, California","Federal Government","Rooming and boarding houses","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,80510,0,0,128,6663,"",41.38,16.69,13.82,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","721310","78","0","1990","A","","Kings County, California","Federal Government","Rooming and boarding houses","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,80510,0,0,128,6663,"",41.38,16.69,13.82,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06031","1","92","74","0","1990","A","","Kings County, California","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,1040,20335459,0,0,376,19550,"",0.90,2.23,1.61,0.00,0.00,0.73,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
