"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21019","0","10","70","0","1990","A","","Boyd County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1371,26976,637607047,0,0,455,23636,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",77,6.0,1296,5.0,43865798,7.4,-184690654,-100.0,-4410749,-100.0,11,2.5,516,2.2
"21019","1","10","71","0","1990","A","","Boyd County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,615,17760999,0,0,555,28864,"",2.20,0.77,0.73,0.00,0.00,0.95,0.95,"",5,27.8,87,16.5,2473117,16.2,0,0.0,0,0.0,-1,-0.2,-90,-0.3
"21019","1","102","72","0","1990","A","","Boyd County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,615,17760999,0,0,555,28864,"",2.22,0.80,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","1021","73","0","1990","A","","Boyd County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.75,0.69,0.72,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","1028","73","0","1990","A","","Boyd County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",18,446,12397858,0,0,535,27824,"",3.34,1.08,0.99,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","48-49","74","0","1990","A","","Boyd County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.78,0.76,0.76,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","491","75","0","1990","A","","Boyd County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.79,0.81,0.81,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","4911","76","0","1990","A","","Boyd County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.79,0.81,0.81,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","49111","77","0","1990","A","","Boyd County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.79,0.81,0.81,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21019","1","491110","78","0","1990","A","","Boyd County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,165,5273128,0,0,613,31878,"",0.79,0.81,0.81,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
