"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26165","0","10","70","0","1990","A","","Wexford County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",645,11023,198869660,0,0,347,18041,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",25,4.0,-60,-0.5,-2656048,-1.3,-80867820,-100.0,-2919004,-100.0,-2,-0.6,-142,-0.8
"26165","1","10","71","0","1990","A","","Wexford County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,175,4311163,0,0,473,24600,"",2.65,0.54,0.57,0.00,0.00,1.06,1.06,"",3,30.0,19,12.2,473732,12.3,0,0.0,0,0.0,0,0.0,2,0.0
"26165","1","102","72","0","1990","A","","Wexford County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,175,4311163,0,0,473,24600,"",2.66,0.56,0.60,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","1021","73","0","1990","A","","Wexford County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.20,0.65,0.78,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","1028","73","0","1990","A","","Wexford County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,112,2522599,0,0,433,22540,"",2.76,0.66,0.64,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","48-49","74","0","1990","A","","Wexford County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.30,0.71,0.82,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","491","75","0","1990","A","","Wexford County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.37,0.75,0.88,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","4911","76","0","1990","A","","Wexford County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.37,0.75,0.88,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","49111","77","0","1990","A","","Wexford County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.37,0.75,0.88,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","491110","78","0","1990","A","","Wexford County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,63,1788564,0,0,543,28240,"",3.37,0.75,0.88,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","92","74","0","1990","A","","Wexford County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,112,2522599,0,0,433,22540,"",2.76,0.66,0.64,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","923","75","0","1990","A","","Wexford County, Michigan","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.01,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","9231","76","0","1990","A","","Wexford County, Michigan","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.01,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26165","1","92313","77","0","1990","A","","Wexford County, Michigan","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",6.82,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
