"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28039","0","10","70","0","1990","A","","George County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",247,2821,39366032,0,0,268,13955,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-6,-2.4,139,5.2,3620708,10.1,-13173348,-100.0,-172585,-100.0,12,4.7,628,4.7
"28039","1","10","71","0","1990","A","","George County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,940605,0,0,406,21098,"",3.72,0.54,0.63,0.00,0.00,1.18,1.18,"",0,0.0,6,15.4,21285,2.3,0,0.0,0,0.0,-47,-10.4,-2474,-10.5
"28039","1","102","72","0","1990","A","","George County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,940605,0,0,406,21098,"",3.74,0.56,0.66,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","1021","73","0","1990","A","","George County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,636869,0,0,509,26444,"",2.79,0.96,1.40,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","1023","73","0","1990","A","","George County, Mississippi","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,100519,0,0,438,22759,"",13.23,4.26,5.71,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","1028","73","0","1990","A","","George County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,203217,0,0,243,12635,"",4.12,0.37,0.26,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","48-49","74","0","1990","A","","George County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,636869,0,0,509,26444,"",2.88,1.06,1.48,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","491","75","0","1990","A","","George County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,24,636869,0,0,509,26444,"",2.93,1.12,1.58,0.00,0.00,1.41,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","4911","76","0","1990","A","","George County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,24,636869,0,0,509,26444,"",2.93,1.12,1.58,0.00,0.00,1.41,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28039","1","49111","77","0","1990","A","","George County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,24,636869,0,0,509,26444,"",2.93,1.12,1.58,0.00,0.00,1.41,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
