"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31083","0","10","70","0","1990","A","","Harlan County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",124,921,11464941,0,0,239,12444,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-5.3,-13,-1.4,100387,0.9,-3288428,-100.0,-36529,-100.0,6,2.6,277,2.3
"31083","1","10","71","0","1990","A","","Harlan County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,52,1083415,0,0,400,20802,"",7.42,1.91,2.49,0.00,0.00,1.30,1.30,"",1,16.7,2,4.0,-7050,-0.6,0,0.0,0,0.0,-19,-4.5,-1007,-4.6
"31083","1","102","72","0","1990","A","","Harlan County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,52,1083415,0,0,400,20802,"",7.46,1.99,2.60,0.00,0.00,1.31,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","1021","73","0","1990","A","","Harlan County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.78,1.97,2.61,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","1024","73","0","1990","A","","Harlan County, Nebraska","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,359973,0,0,494,25712,"",45.93,23.39,38.19,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","1028","73","0","1990","A","","Harlan County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,22,377333,0,0,330,17152,"",10.26,1.56,1.67,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","48-49","74","0","1990","A","","Harlan County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.86,2.17,2.77,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","491","75","0","1990","A","","Harlan County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.92,2.29,2.94,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","4911","76","0","1990","A","","Harlan County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.92,2.29,2.94,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","49111","77","0","1990","A","","Harlan County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.92,2.29,2.94,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31083","1","491110","78","0","1990","A","","Harlan County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,346109,0,0,414,21520,"",2.92,2.29,2.94,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
