"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36087","0","10","70","0","1990","A","","Rockland County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",7376,98996,2599801505,0,0,505,26262,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",137,1.9,-589,-0.6,132441693,5.4,-546368264,-100.0,-8559058,-100.0,29,6.1,1486,6.0
"36087","1","10","71","0","1990","A","","Rockland County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,941,30592036,0,0,625,32507,"",0.59,0.32,0.31,0.00,0.00,0.96,0.96,"",1,3.1,30,3.3,3153632,11.5,0,0.0,0,0.0,46,7.9,2389,7.9
"36087","1","102","72","0","1990","A","","Rockland County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,941,30592036,0,0,625,32507,"",0.59,0.33,0.32,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","1021","73","0","1990","A","","Rockland County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.21,0.96,0.95,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","1028","73","0","1990","A","","Rockland County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,101,2138731,0,0,407,21176,"",0.24,0.07,0.04,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","48-49","74","0","1990","A","","Rockland County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.25,1.06,1.00,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","491","75","0","1990","A","","Rockland County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.28,1.12,1.07,0.00,0.00,0.95,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","4911","76","0","1990","A","","Rockland County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.28,1.12,1.07,0.00,0.00,0.95,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","49111","77","0","1990","A","","Rockland County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.28,1.12,1.07,0.00,0.00,0.95,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","491110","78","0","1990","A","","Rockland County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",26,840,28453305,0,0,651,33870,"",1.28,1.12,1.07,0.00,0.00,0.95,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","92","74","0","1990","A","","Rockland County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,101,2138731,0,0,407,21176,"",0.24,0.07,0.04,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","921","75","0","1990","A","","Rockland County, New York","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,21,736758,0,0,683,35506,"",0.86,0.09,0.09,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","9211","76","0","1990","A","","Rockland County, New York","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,21,736758,0,0,683,35506,"",0.86,0.09,0.09,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","92113","77","0","1990","A","","Rockland County, New York","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,736758,0,0,683,35506,"",1.35,0.15,0.16,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","921130","78","0","1990","A","","Rockland County, New York","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,736758,0,0,683,35506,"",1.35,0.15,0.16,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","923","75","0","1990","A","","Rockland County, New York","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,809711,0,0,575,29897,"",0.44,0.21,0.17,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","9231","76","0","1990","A","","Rockland County, New York","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,809711,0,0,575,29897,"",0.44,0.21,0.17,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","92313","77","0","1990","A","","Rockland County, New York","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,809711,0,0,575,29897,"",0.60,0.38,0.33,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","923130","78","0","1990","A","","Rockland County, New York","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,809711,0,0,575,29897,"",0.60,0.38,0.33,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","926","75","0","1990","A","","Rockland County, New York","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,53,592262,0,0,214,11140,"",0.34,0.22,0.08,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","9261","76","0","1990","A","","Rockland County, New York","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,53,592262,0,0,214,11140,"",0.34,0.22,0.08,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","92611","77","0","1990","A","","Rockland County, New York","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,51,524274,0,0,197,10230,"",0.57,0.41,0.20,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","926110","78","0","1990","A","","Rockland County, New York","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,51,524274,0,0,197,10230,"",0.57,0.41,0.20,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","92614","77","0","1990","A","","Rockland County, New York","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,67988,0,0,682,35472,"",0.30,0.04,0.04,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36087","1","926140","78","0","1990","A","","Rockland County, New York","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,67988,0,0,682,35472,"",0.30,0.04,0.04,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
